Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Issue split),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
"As a fabric developer, I'd like to use vagrant to build and test the fabric core",FAB-13714,36838,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,sykesm,sykesm,sykesm,17/Jan/19 6:31 AM,22/Jan/19 12:10 AM,28/Oct/23 3:04 AM,20/Jan/19 7:51 PM,,,,,,,,,,fabric-common,,,,,0,,,,,"The existing devenv is a mess. It's cluttered with a bunch of legacy that's no longer relevant to what we build.

Let's simplify what's there and bring it up to date with the current patterns.",,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i0076f:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),sykesm,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"18/Jan/19 5:16 AM;sykesm;https://gerrit.hyperledger.org/r/28798 [FAB-13714] Remove devenv and associated doc;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
manifest-tool is failing in the gotools for release-1.1 ,FAB-13715,36839,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,mastersingh24,sambhavdutt,sambhavdutt,17/Jan/19 6:48 AM,19/Mar/19 8:13 PM,28/Oct/23 3:04 AM,21/Jan/19 4:17 AM,v1.1.0,,,,,v1.1.2,,,,fabric-build,,,,,0,ci-failure,,,,"The manifest-tool is failing in gotools for release-1.1 , this fail was observed in the daily fabric end-2-end job

*Intermittent:* No
*Branch:* release-1.1
*Platform:* x86_64

*Error Snippet:*
 
{code:java}
00:03:32.627 # github.com/estesp/manifest-tool/vendor/github.com/docker/docker/pkg/archive
00:03:32.627 /opt/gotools/obj/gopath/src/github.com/estesp/manifest-tool/vendor/github.com/docker/docker/pkg/archive/archive.go:365:5: hdr.Format undefined (type *tar.Header has no field or method Format)
00:03:32.627 /opt/gotools/obj/gopath/src/github.com/estesp/manifest-tool/vendor/github.com/docker/docker/pkg/archive/archive.go:365:15: undefined: tar.FormatPAX
00:03:32.627 /opt/gotools/obj/gopath/src/github.com/estesp/manifest-tool/vendor/github.com/docker/docker/pkg/archive/archive.go:1158:7: hdr.Format undefined (type *tar.Header has no field or method Format)
00:03:32.627 /opt/gotools/obj/gopath/src/github.com/estesp/manifest-tool/vendor/github.com/docker/docker/pkg/archive/archive.go:1158:17: undefined: tar.FormatPAX
00:03:34.568 make[1]: *** [gotool.manifest-tool] Error 2
00:03:34.568 Makefile:48: recipe for target 'gotool.manifest-tool' failed
{code}

*Build Logs:*

https://jenkins.hyperledger.org/view/Daily/job/fabric-end-2-end-daily-release-1.1-x86_64/",,denyeart,mastersingh24,sambhavdutt,vijaypunugubati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,992300b0a43b996bdb90903f6fca0cc6ca37f0bf,Unset,No,,,"1|i0076n:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),denyeart,mastersingh24,sambhavdutt,vijaypunugubati,,,,,,,,release-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"20/Jan/19 9:36 PM;mastersingh24;Not sure how much we really care about 1.1 branch at this point, but the issue here is likely that we need to pin to a specific version of the manifest tool.  The issue is due to the fact of manifest tool using something in the tar package which was not added until Go 1.10 and we use Go 1.9 for 1.1;;;","20/Jan/19 11:46 PM;mastersingh24;[https://gerrit.hyperledger.org/r/#/c/28836/];;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
onboarding block verification support,FAB-13716,36840,34813,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,yacovm,yacovm,yacovm,17/Jan/19 6:56 AM,03/Mar/19 9:58 PM,28/Oct/23 3:04 AM,22/Jan/19 3:46 AM,,,,,,v2.0.0,,,,fabric-orderer,,,,,0,,,,,"Verification of block signature policy is needed for onboarding, but - we face 2 challenges: 

* We don't have a chain support, nor a bundle, because onboarding might take place at boot time, before everything else, so we need to track ourselves of committed config blocks and build bundles from them and ensure they replace the older bundles when blocks are committed.
* We need to give the block puller the same support it has that the channel config gives in terms of verification of block signature policy with a custom config envelope that is present inside an un-committed batch of blocks: *VerifyBlockSignature(sd []*common.SignedData, envelope *common.ConfigEnvelope)* will build a bundle out of the config envelope if it's not nil, but this code cannot be reused because it resides in the chain support (which isn't built when onboarding runs).

When the OSN detects it has now joined a new channel (dynamic onboarding) - it needs to verify the blocks it pulls but it can only use the genesis block it stored in the ledger (since it has the genesis block from the system channel's chain creation transaction). ",,kchristidis,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i0076v:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),kchristidis,yacovm,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-1.4,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"17/Jan/19 7:35 AM;yacovm;https://gerrit.hyperledger.org/r/#/c/28768/;;;","19/Jan/19 4:37 AM;kchristidis;{quote}When the OSN detects it has now joined a new channel (dynamic onboarding) - it needs to verify the blocks it pulls but it can only use the genesis block it stored in the ledger (since it has the genesis block from the system channel's chain creation transaction).{quote}

I'm not sure I'm following what we're trying to say here. Can we break this down? I'm also not getting what we mean by dynamic onboarding? Dynamic as opposed to?;;;","19/Jan/19 5:51 AM;yacovm;Dynamic onboarding means when you join a channel you didn't participate it while you are online and have been serving other channels.
It is opposed to static/startup onboarding which takes place only once, when you are a new node and don't have anything but the boot block of the system channel.;;;","19/Jan/19 6:04 AM;kchristidis;{quote}Dynamic onboarding means when you join a channel you didn't participate it while you are online and have been serving other channels. It is opposed to static/startup onboarding which takes place only once, when you are a new node and don't have anything but the boot block of the system channel.{quote}
(/);;;","21/Jan/19 12:45 AM;kchristidis;Guessing that https://gerrit.hyperledger.org/r/c/28768/ is CR 1 of 2 needed to close this, correct? (The other one that's currently WIP will do the wiring.);;;","21/Jan/19 1:30 AM;yacovm;yes. ;;;","22/Jan/19 1:13 AM;yacovm;https://gerrit.hyperledger.org/r/#/c/28770/;;;",,,,,,,,,,,,,,,,,,,,,,
Move fabric-ca sample and build capability to fabric-test,FAB-13717,36842,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,latitiah,latitiah,latitiah,17/Jan/19 7:18 AM,08/Feb/19 2:09 AM,28/Oct/23 3:04 AM,08/Feb/19 2:09 AM,,,,,,,,,,fabric-quality,,,,,0,,,,,"The ability to build fabric-ca-* images was removed from the fabric-ca repository. These images were being used when performing tests that used fabric-ca. These tests currently use the CLI, sdk-node, and sdk-java. In order to execute true interoperability tests to ensure consistency, these images are needed. 

The fabric-ca sample has also been moved to fabric-test. There are a couple of scenarios that are only tested when this sample is executed. Until this sample has been transposed into proper tests for these particular cases, this sample should continue to exist as it has caught errors at times in the past. The sample can be removed when there is better test coverage for fabric-ca and fabric interoperability.",,latitiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FABC-781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i0077b:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),latitiah,,,,,,,,,,,dependabot/go_modules/regression/publish/golang.org/x/sys-0.1.0,dependabot/go_modules/chaincodes/marbles02_private/go/golang.org/x/crypto-0.1.0,dependabot/go_modules/tools/operator/k8s.io/client-go-0.20.0,dependabot/go_modules/regression/smoke/golang.org/x/net-0.7.0,dependabot/go_modules/tools/chaincode-integration/resources/chaincode/simple-go/golang.org/x/net-0.7.0,dependabot/go_modules/regression/barebones/golang.org/x/net-0.7.0,dependabot/go_modules/tools/gotools/golang.org/x/sys-0.1.0,dependabot/go_modules/regression/smoke/github.com/docker/docker-20.10.24incompatible,dependabot/go_modules/tools/operator/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/smoke/github.com/opencontainers/runc-1.1.5,dependabot/go_modules/regression/publish/golang.org/x/text-0.3.8,dependabot/go_modules/regression/publish/github.com/opencontainers/runc-1.1.5,dependabot/go_modules/regression/smoke/golang.org/x/text-0.3.8,release-2.5,dependabot/go_modules/regression/barebones/github.com/opencontainers/runc-1.1.5,release-2.4,lindluni-patch-1,dependabot/go_modules/regression/publish/k8s.io/client-go-0.20.0,dependabot/go_modules/regression/basicnetwork/k8s.io/client-go-0.20.0,dependabot/go_modules/tools/chaincode-integration/resources/chaincode/simple-go/golang.org/x/text-0.3.8,dependabot/go_modules/regression/basicnetwork/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/publish/golang.org/x/net-0.7.0,dependabot/go_modules/regression/publish/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/basicnetwork/golang.org/x/net-0.7.0,dependabot/go_modules/regression/barebones/github.com/docker/docker-20.10.24incompatible,dependabot/go_modules/tools/operator/golang.org/x/sys-0.1.0,dependabot/go_modules/regression/smoke/golang.org/x/sys-0.1.0,dependabot/go_modules/regression/basicnetwork/github.com/opencontainers/runc-1.1.5,dependabot/go_modules/regression/barebones/golang.org/x/text-0.3.8,revert-342-mergify/bp/main/pr-340,dependabot/go_modules/regression/publish/github.com/docker/docker-20.10.24incompatible,dependabot/go_modules/regression/smoke/k8s.io/client-go-0.20.0,dependabot/go_modules/regression/basicnetwork/golang.org/x/sys-0.1.0,dependabot/go_modules/tools/operator/golang.org/x/text-0.3.8,dependabot/go_modules/tools/operator/golang.org/x/net-0.7.0,dependabot/go_modules/regression/basicnetwork/github.com/docker/docker-20.10.24incompatible,dependabot/go_modules/regression/smoke/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/basicnetwork/golang.org/x/text-0.3.8,dependabot/go_modules/regression/barebones/golang.org/x/crypto-0.1.0,dependabot/go_modules/regression/barebones/golang.org/x/sys-0.1.0,dependabot/go_modules/tools/operator/github.com/opencontainers/runc-1.1.5,dependabot/go_modules/regression/barebones/k8s.io/client-go-0.20.0,dependabot/go_modules/chaincodes/marbles02_private/go/golang.org/x/net-0.7.0,dependabot/go_modules/tools/operator/github.com/docker/docker-20.10.24incompatible,,true,"17/Jan/19 7:23 AM;latitiah;https://gerrit.hyperledger.org/r/28769;;;","19/Jan/19 4:16 AM;latitiah;The CR contains the following changes:
* fabric-ca sample that was removed from fabric-samples repo with the changes found in the CRs:  https://gerrit.hyperledger.org/r/#/c/28141/ and https://gerrit.hyperledger.org/r/#/c/28139/
* fabric-ca-* Dockerfiles had to be modified to use alpine
* includes all the new images that we have now and the ability to build the fabric-ca-* images to the Makefile and in a separate script
* When starting chaincode, the version number and not ""latest"" env image is searched for - there is a bug open for this, in the meantime, the version (2.0.0) is tagged to the env images in the meantime
* The new images that are now necessary such as baseos and nodeenv

This change does not enable executing the fabric-ca sample, but does allow the continued execution of behave tests including the interop tests.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
TestConnectToAnchorPeers failed in the gossip_test due to timeout,FAB-13718,36843,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Invalid: Works as Expected,,sambhavdutt,sambhavdutt,17/Jan/19 7:24 AM,19/Mar/19 7:57 PM,28/Oct/23 3:04 AM,23/Jan/19 12:10 AM,v1.4.0,,,,,,,,,fabric-gossip,,,,,0,ci-flake,,,,"The *TestConnectToAnchorPeers* failed in the gossip tests as timeout expired while connecting to the anchor peers. This fail was observed in the unit-test-coverage daily job.

*Intermittent:* Yes
*Branch:* release-1.4
*Platform:* x86_64
*Error Snippet:*

{code:java}
20:58:37 --- FAIL: TestConnectToAnchorPeers (367.09s)
20:58:37     gossip_test.go:1531: 
20:58:37         	Error Trace:	gossip_test.go:1531
20:58:37         	            				asm_amd64.s:1333
20:58:37         	Error:      	Didn't stop within a timely manner
20:58:37         	Test:       	TestConnectToAnchorPeers
20:58:37     gossip_test.go:1591: 
20:58:37         	Error Trace:	gossip_test.go:1591
20:58:37         	            				gossip_test.go:475
20:58:37         	Error:      	Timeout expired!
20:58:37         	Test:       	TestConnectToAnchorPeers
20:58:37     gossip_test.go:1591: 
20:58:37         	Error Trace:	gossip_test.go:1591
20:58:37         	            				gossip_test.go:485
20:58:37         	Error:      	Timeout expired!
20:58:37         	Test:       	TestConnectToAnchorPeers
{code}


*Build Logs:*

https://jenkins.hyperledger.org/view/Daily/job/fabric-unit-test-coverage-daily-release-1.4-x86_64/34/consoleFull

",,denyeart,rameshthoomu,sambhavdutt,vijaypunugubati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,8f9e8c8fd14761baddc07851a613ecd9ef95db2b,Unset,No,,,"1|i0077j:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),denyeart,rameshthoomu,sambhavdutt,vijaypunugubati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23/Jan/19 12:09 AM;sambhavdutt;There have been no fails in TestConnectToAnchorPeers in the recent builds.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refactor to address review comments,FAB-13719,36848,35195,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,tock,tock,tock,17/Jan/19 3:22 PM,04/Apr/19 4:48 PM,28/Oct/23 3:04 AM,04/Apr/19 4:48 PM,,,,,,,,,,,,,,,0,,,,,"* See comments here: https://gerrit.hyperledger.org/r/#/c/29710/15/orderer/consensus/migration/migration.go
 * Rename StatusManager to:  StatusKeeper? StatusMaster? StatusExecutor?
 * Refactor migration package style to be more ""return early return often"" rather than single return

 ",,tock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i0078n:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),tock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04/Apr/19 4:48 PM;tock;Switching to alternative  migration design - v2;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add err handling to core/comm tests,FAB-13720,36849,,Bug,Closed,FAB,Fabric,software,denyeart,,,Low,Done,diizuka,diizuka,diizuka,17/Jan/19 3:23 PM,21/Jan/19 1:22 AM,28/Oct/23 3:04 AM,21/Jan/19 1:22 AM,v1.0.0,v1.1.0,v1.2.0,v1.3.0,,v2.0.0,,,,fabric-common,,,,,0,,,,,Add err handling to core/comm tests,,diizuka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i0078v:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),diizuka,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Add err check for DERToX509Certificate,FAB-13721,36850,,Bug,Closed,FAB,Fabric,software,denyeart,,,Low,Done,diizuka,diizuka,diizuka,17/Jan/19 3:44 PM,14/Feb/19 6:52 AM,28/Oct/23 3:04 AM,14/Feb/19 6:52 AM,v1.1.0,v1.2.0,v1.3.0,,,v2.0.0,,,,fabric-common,,,,,0,,,,,"Add err check for DERToX509Certificate in common/tools/cryptogen/ca/generator.go
",,diizuka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00793:",,,,Unset,Unset,,,,"1.	Prepare the cert file contains only headers,
e.g. “-----BEGIN CERTIFICATE-----\n-----END CERTIFICATE-----”
2.	Put it to certain directory. 
3.	Call ca.LoadCerfiticateECDSA(dir).
It should return (non-nil, nil), but returns (nil, nil)
",,Unset,,,,,,Unset,,Unset,,(Please add usage information),diizuka,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call ReportUnreachable if stepping a message fails,FAB-13722,36851,33490,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,guoger,kchristidis,kchristidis,17/Jan/19 3:48 PM,07/Mar/19 1:54 AM,28/Oct/23 3:04 AM,01/Mar/19 12:54 AM,,,,,,v1.4.1,,,,fabric-orderer,,,,,0,raft,,,,"See {{send}} method of {{node}} object in {{etcdraft/node.go}}.

Calling {{ReportUnreachable}} stops the leader from optimistically sending more {{MsgApp}} messages to that node.",,guoger,kchristidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i0079b:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),guoger,kchristidis,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-1.4,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"25/Feb/19 1:59 PM;guoger;https://gerrit.hyperledger.org/r/c/29529/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
refactor processChannelConfigTx,FAB-13723,36854,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,kutenglaoshu,kutenglaoshu,kutenglaoshu,17/Jan/19 5:36 PM,18/Jan/19 9:08 PM,28/Oct/23 3:04 AM,18/Jan/19 9:08 PM,,,,,,v2.0.0,,,,,,,,,0,,,,,"if channelConfig is nil, persistConf already return err:
    proto: Marshal called with nil
so below code no chance to compare
    if channelConfig == nil {
        return fmt.Errorf(""Channel config found nil"")
    }
i think this code should be delete, but if not, move to before persistConf",,kutenglaoshu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i0079z:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),kutenglaoshu,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create local support interface for QueryExecutor,FAB-13724,36855,36665,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,ales,ales,ales,17/Jan/19 5:57 PM,04/Apr/19 10:14 PM,28/Oct/23 3:04 AM,04/Apr/19 10:14 PM,,,,,,,,,,,,,,,0,,,,,,,ales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i007a7:",,,,Unset,Unset,v2.0,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),ales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Address some comments for code hygiene,FAB-13725,36856,33490,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Low,Done,guoger,guoger,guoger,17/Jan/19 6:11 PM,03/Apr/19 5:40 PM,28/Oct/23 3:04 AM,02/Apr/19 5:24 AM,,,,,,,,,,fabric-orderer,,,,,0,help-wanted,,,,"-[https://gerrit.hyperledger.org/r/c/28204/17/orderer/consensus/etcdraft/chain.go#938|#938-]-

-[https://gerrit.hyperledger.org/r/c/28204/17/orderer/consensus/etcdraft/chain.go#945|#945-]-

-[https://gerrit.hyperledger.org/r/c/28427/12/orderer/consensus/etcdraft/chain.go#906]-

-[https://gerrit.hyperledger.org/r/c/28427/12/orderer/consensus/etcdraft/util.go#399]-

-[https://gerrit.hyperledger.org/r/c/28581/6/orderer/consensus/etcdraft/chain.go#387]-

-[https://gerrit.hyperledger.org/r/c/28581/6/orderer/consensus/etcdraft/chain.go#394]-

[-https://gerrit.hyperledger.org/r/c/28650/6/orderer/consensus/etcdraft/chain.go#117-|#117-]

[-https://gerrit.hyperledger.org/r/c/28921/2/integration/e2e/cft_test.go#303-|#303-]

 

Remaining item:

[refactor etcd/raft file purging with {{filepath.Walk}}|https://gerrit.hyperledger.org/r/c/28850/11/orderer/consensus/etcdraft/storage.go#285]

This could be done together with FAB-13941",,guoger,jyellick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i007af:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),guoger,jyellick,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-1.4,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"29/Mar/19 12:42 PM;jyellick;[~guoger] can you assess what remains here?;;;","01/Apr/19 10:48 PM;guoger;[https://gerrit.hyperledger.org/r/c/30515/] release-1.4
[https://gerrit.hyperledger.org/r/c/30524] master;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
