Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Git Code Review),Outward issue link (Git Code Review),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
make check-deps failed with grpc-ecosystem/go-grpc-middleware,FAB-12172,34099,,Bug,Closed,FAB,Fabric,software,denyeart,,,High,Invalid: Environment Issue,,davidkhala,davidkhala,26/Sep/18 6:20 PM,02/Dec/18 5:23 AM,28/Oct/23 3:04 AM,02/Dec/18 5:23 AM,v1.3.0,,,,,Not a Bug,,,,,fabric-common,,,,1,,,,,,"Environment:
 * golang 1.10.1
 * ubuntu 16.04
 * dep v0.5.0
 * docker 17.12.1-ce

the error log
{code:java}
DEP: Checking for dependency issues..
dep:
 version     : v0.5.0
 build date  : 2018-09-26
 git hash    : 
 go version  : go1.10.4
 go compiler : gc
 platform    : linux/amd64
 features    : ImportDuringSolve=false
# vendor is out of sync:
github.com/coreos/etcd: hash of vendored tree not equal to digest in Gopkg.lock
github.com/docker/docker: hash of vendored tree not equal to digest in Gopkg.lock
github.com/grpc-ecosystem/go-grpc-middleware: hash of vendored tree not equal to digest in Gopkg.lock  (CHECK IGNORED: marked noverify in Gopkg.toml)
Makefile:218: recipe for target 'check-deps' failed
make: *** [check-deps] Error 1
{code}
 ",,davidkhala,mastersingh24,Specia1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-12025,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzsmv:",,,,Unset,Unset,,,"
$ make check-deps ",,Unset,,,,,,Unset,,Unset,,(Please add usage information),davidkhala,mastersingh24,Specia1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02/Dec/18 5:23 AM;mastersingh24;Tried make check-deps on both release-1.3 and master branches with no issues;;;","02/Dec/18 5:23 AM;mastersingh24;This works fine on both master and release-1.3;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Make all fabric samples configured with anchor peers,FAB-12173,34100,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,yuki-kon,yacovm,yacovm,26/Sep/18 6:47 PM,27/Oct/18 6:39 AM,28/Oct/23 3:04 AM,18/Oct/18 7:47 AM,v1.4.0,,,,,v1.4.0,,,,,fabric-samples,,,,0,,,,,,"Currently, not all fabric samples have anchor peer configuration.
As a result - users are unable to use private data (unless they endorse on all the peers and don't require acknowledgement from peers) and can't take advantage of service discovery.

We should add to all fabric samples, anchor peers configuration at the setup startup.",,huikang,yacovm,yuki-kon,zRich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-12174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-12631,,,No,,Unset,No,,,"1|hzzsn3:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),huikang,yacovm,yuki-kon,zRich,,,,,,,,,,,,,,,,,,,,,,,dependabot/npm_and_yarn/asset-transfer-basic/rest-api-typescript/protobufjs-6.11.4,dependabot/npm_and_yarn/asset-transfer-basic/rest-api-typescript/tough-cookie-4.1.3,dependabot/npm_and_yarn/asset-transfer-basic/rest-api-typescript/semver-6.3.1,dependabot/npm_and_yarn/asset-transfer-basic/rest-api-typescript/grpc/grpc-js-1.8.17,dependabot/go_modules/high-throughput/application-go/google.golang.org/grpc-1.53.0,dependabot/npm_and_yarn/asset-transfer-basic/rest-api-typescript/word-wrap-1.2.4,dependabot/npm_and_yarn/asset-transfer-basic/rest-api-typescript/protobufjs-and-fabric-network-7.2.4,dependabot/go_modules/asset-transfer-basic/application-go/google.golang.org/grpc-1.53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"27/Sep/18 4:37 AM;huikang;Hi, Yacov([~yacovm]), are you working on this issue? If not, I'd like to try fixing it. Thanks.;;;","27/Sep/18 5:16 AM;yacovm;No, and I never intended to... Feel free to take this.;;;","13/Oct/18 1:15 AM;yuki-kon;I created a patch to use anchor peers for the sample “fabric-samples/balance-transfer”. Can I take this JIRA?;;;","13/Oct/18 1:24 AM;huikang;sure, I am swamped with other things. Please assign this to yourself. Thanks.;;;","13/Oct/18 1:57 AM;yuki-kon;Thanks, [~huikang]. I posted a CR here. https://gerrit.hyperledger.org/r/#/c/26956/;;;","13/Oct/18 2:42 AM;yacovm;Thanks [~yuki-kon] .;;;","13/Oct/18 4:34 AM;yacovm;Tested it, looks like peers in different orgs find each other so the anchor peer update worked.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
"Make all fabric samples that use SDK, use service discovery ",FAB-12174,34101,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,,yacovm,yacovm,26/Sep/18 6:58 PM,23/Jan/20 7:32 AM,28/Oct/23 3:04 AM,23/Jan/20 7:32 AM,v1.4.0,,,,,,,,,,fabric-samples,,,,0,stale-item,,,,,"*TLDR* - Make all fabric samples that use SDK, use service discovery and *remove static configuration of peers/chaincodes/orderers from connection profile*.

Since v1.2 - Fabric peers can tell the SDK information regarding the existing peers in the channel, or which peers should be used to endorse a given chaincode.

Despite the fact that the node SDK can leverage this ability, the fabric samples aren't configured to take advantage of this, [and all peers are configured statically in the channel, and the chaincodes are also configured statically|https://github.com/hyperledger/fabric-samples/blob/release-1.2/balance-transfer/artifacts/network-config.yaml#L49-L94].

This leads to miseducation and misinformation as this isn't the optimal way of configuring the network.

Therefore we should:

* Completely remove all configuration of chaincodes from the network profile configuration of all samples that use SDKs.
* Completely remove all configuration of peers and orderers by channels from the network profile configuration of all samples that use SDKs.
* Configure the network profile of all samples that use SDKs to use *a single peer* and rely on service discovery.
",,sheetal-hlf,sykesm,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-12173,,,,,,,,,,,,,,,,,,,,,,,FAB-12535,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-12631,,,No,,Unset,No,,,"1|hzzsnb:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),sheetal-hlf,sykesm,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23/Jan/20 7:32 AM;sykesm;Stale;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove outdated configuration from all fabric samples,FAB-12175,34102,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,,yacovm,yacovm,26/Sep/18 7:03 PM,23/Jan/20 7:32 AM,28/Oct/23 3:04 AM,23/Jan/20 7:32 AM,v1.4.0,,,,,,,,,,fabric-samples,,,,0,stale-item,,,,,"Some Fabric samples contain outdated configuration keys that have no effect whatsoever, [even such that were introduced in v1.0-alpha|https://github.com/hyperledger/fabric-samples/blob/release-1.2/balance-transfer/artifacts/base.yaml#L21] and never got to v1.0 GA.

As a result, users that read these samples are mislead and sometimes even share with other users these configuration parameters which no longer exist, or have changed.

Ideally - all configuration of samples would be inspired by the [e2e_cli|https://github.com/hyperledger/fabric/tree/release-1.3/examples/e2e_cli] in the fabric core repository.",,sykesm,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FAB-12631,,,No,,Unset,No,,,"1|hzzsnj:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),sykesm,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23/Jan/20 7:32 AM;sykesm;Stale;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private data retrieval ignores metadata writes,FAB-12176,34106,,Bug,Closed,FAB,Fabric,software,denyeart,,,High,Done,mne,mne,mne,26/Sep/18 8:55 PM,27/Sep/18 4:15 AM,28/Oct/23 3:04 AM,27/Sep/18 4:15 AM,v1.3.0,,,,,v1.3.0,,,,,,,,,0,must-fix,,,,,"Consider the following scenario on a key in a collection shared between Org1 and Org2:
 * TX1: Org1 sets the value of a key
 * TX2: Org1 modifies the metadata of a key
 * TX3: Org2 retrieves the value of a key

The Org2 peer will fail to retrieve the value of the key, because it only has an entry for the key's hash at TX1, but the latest version points to TX2:


{{Failed to handle GET_STATE. error: private data matching public hash version is not available. Public hash version = &version.Height\{BlockNum:0x9, TxNum:0x0}, Private data version = &version.Height\{BlockNum:0x7, TxNum:0x0}}}",,denyeart,manish-sethi,mne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzsnz:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),denyeart,manish-sethi,mne,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-1.3,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"26/Sep/18 9:08 PM;mne;https://gerrit.hyperledger.org/r/#/c/26595/;;;","27/Sep/18 2:05 AM;manish-sethi;Cherry-picked for branch release-1.3
https://gerrit.hyperledger.org/r/#/c/26607/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service Discovery requires EXTERNAL_ENDPOINT to be configured,FAB-12177,34107,,Documentation,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,joe-alewine,pandrejko,pandrejko,26/Sep/18 9:31 PM,29/Nov/18 3:39 AM,28/Oct/23 3:04 AM,29/Nov/18 12:39 AM,v1.2.0,v1.3.0,,,,,,,,,fabric-docs,,,,0,,,,,,"Currently, to see peers in service discovery they need to have `EXTERNAL_ENDPOINT` to be configured for them.
Otherwise - fabric assumes the peer should not be disclosed.

 

Yacov is thinking that we should add this information to the discovery-cli tutorial

https://hyperledger-fabric.readthedocs.io/en/latest/discovery-cli.html

 

The parameter is defined in core.yaml under:

 {code}
 - CORE_PEER_ADDRESS=peer1.org1.example.com:7051
 - CORE_PEER_GOSSIP_EXTERNALENDPOINT=peer1.org1.example.com:7051
 - CORE_PEER_GOSSIP_BOOTSTRAP=peer0.org1.example.com:7051
 {code}
the external endpoints are defined in some of our samples",,joe-alewine,pandrejko,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-12947,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzwrrj:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),joe-alewine,pandrejko,yacovm,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"25/Oct/18 5:26 AM;yacovm;[~joe-alewine] [~pandrejko] any updates on this one?;;;","28/Nov/18 11:51 PM;joe-alewine;https://gerrit.hyperledger.org/r/c/27780/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intermittent test failures in fabric/core/comm TestServerInterceptors,FAB-12178,34109,,Bug,Closed,FAB,Fabric,software,denyeart,,,Low,Duplicate,,sykesm,sykesm,26/Sep/18 10:29 PM,19/Mar/19 7:57 PM,28/Oct/23 3:04 AM,27/Dec/18 2:46 AM,,,,,,v2.0.0,,,,,fabric-peer,,,,0,ci-flake,,,,,"{code}
0.083s	coverage: 89.1% of statements
00:07:44.140 unit-tests_1  | 2018-09-25 20:42:00.318 UTC [ConnProducer] DisableEndpoint -> WARN 001 Only 1 endpoint remained, will not black-list it
00:07:44.141 unit-tests_1  | --- FAIL: TestServerInterceptors (0.01s)
00:07:44.142 unit-tests_1  | 	assertions.go:247: 
                          
	Error Trace:	server_test.go:1800
00:07:44.144 unit-tests_1  | 		
	Error:      	Not equal: 
00:07:44.145 unit-tests_1  | 		
	            	expected: ""EOF""
00:07:44.147 unit-tests_1  | 		
	            	actual  : ""error from interceptor""
00:07:44.148 unit-tests_1  | 		
	Test:       	TestServerInterceptors
00:07:44.148 unit-tests_1  | 		
	Messages:   	Expected error from second ssi
00:07:44.150 unit-tests_1  | 2018-09-25 20:42:02.341 UTC [bccsp] GetDefault -> WARN 002 Before using BCCSP, please call InitFactories(). Falling back to bootBCCSP.
00:07:44.151 unit-tests_1  | 2018-09-25 20:42:02.341 UTC [bccsp] GetDefault -> WARN 003 Before using BCCSP, please call InitFactories(). Falling back to bootBCCSP.
00:07:44.153 unit-tests_1  | 2018-09-25 20:42:03.364 UTC [bccsp] GetDefault -> WARN 004 Before using BCCSP, please call InitFactories(). Falling back to bootBCCSP.
00:07:44.155 unit-tests_1  | 2018-09-25 20:42:03.371 UTC [bccsp] GetDefault -> WARN 005 Before using BCCSP, please call InitFactories(). Falling back to bootBCCSP.
00:07:44.157 unit-tests_1  | 2018-09-25 20:42:03.382 UTC [bccsp] GetDefault -> WARN 006 Before using BCCSP, please call InitFactories(). Falling back to bootBCCSP.
00:07:44.159 unit-tests_1  | 2018-09-25 20:42:04.595 UTC [ConnProducer] NewConnection -> ERRO 008 Failed connecting to a , error: Failed connecting to a
00:07:44.160 unit-tests_1  | 2018-09-25 20:42:04.616 UTC [comm] GetPeerCredentials -> WARN 009 Failed adding certificates to peer's client TLS trust pool: asn1: syntax error: data truncated
00:07:44.162 unit-tests_1  | 2018-09-25 20:42:04.618 UTC [ConnProducer] NewConnection -> ERRO 00a Failed connecting to b , error: Failed connecting to b
00:07:44.164 unit-tests_1  | 2018-09-25 20:42:04.618 UTC [ConnProducer] NewConnection -> ERRO 00b Failed connecting to a , error: Failed connecting to a
00:07:44.166 unit-tests_1  | 2018-09-25 20:42:04.618 UTC [ConnProducer] NewConnection -> ERRO 00c Failed connecting to c , error: Failed connecting to c
00:07:44.168 unit-tests_1  | 2018-09-25 20:42:04.844 UTC [comm] GetDeliverServiceCredentials -> ERRO 00d Attempted to obtain root CA certs of a non existent channel: C
00:07:44.169 unit-tests_1  | FAIL
00:07:44.170 unit-tests_1  | coverage: 90.6% of statements
00:07:44.171 unit-tests_1  | FAIL	github.com/hyperledger/fabric/core/comm	10.687s
{code}",,denyeart,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-12658,,,,FAB-13411,,,,,,,,,,,,,,"26/Sep/18 10:31 PM;sykesm;console-timestamp.log.gz.txt;https://jira.hyperledger.org/secure/attachment/15871/console-timestamp.log.gz.txt",,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzsof:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),denyeart,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02/Nov/18 11:18 AM;denyeart;[~mastersingh24] This has been failing intermittently since it was added...;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Integration tests failing in fabric verify jobs due to Timeout.,FAB-12179,34110,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,,sambhavdutt,sambhavdutt,26/Sep/18 11:11 PM,19/Mar/19 8:13 PM,28/Oct/23 3:04 AM,02/Oct/18 8:18 PM,v1.4.0,,,,,v1.4.0,,,,,fabric-build,,,,0,ci-failure,,,,,"The Integration test in fabric verify jobs has been failing in Discovery service due to process time out,

{code:java}
09:36:08 ------------------------------
09:36:08 • Failure in Spec Setup (BeforeEach) [18.072 seconds]
09:36:08 DiscoveryService [BeforeEach] discovers channel information 
09:36:08 /w/workspace/fabric-verify-integration-tests-x86_64/gopath/src/github.com/hyperledger/fabric/integration/discovery/discovery_test.go:85
09:36:08 
09:36:08   Timed out after 1.000s.
09:36:08   Expected process to exit.  It did not.
09:36:08 
09:36:08   /w/workspace/fabric-verify-integration-tests-x86_64/gopath/src/github.com/hyperledger/fabric/vendor/github.com/tedsuo/ifrit/ginkgomon/ginkgomon.go:146
09:36:08 ------------------------------
09:37:02 ••
09:37:02 
09:37:02 Summarizing 1 Failure:
09:37:02 
09:37:02 [Fail] DiscoveryService [BeforeEach] discovers channel information 
09:37:02 /w/workspace/fabric-verify-integration-tests-x86_64/gopath/src/github.com/hyperledger/fabric/vendor/github.com/tedsuo/ifrit/ginkgomon/ginkgomon.go:146
09:37:02 
09:37:02 Ran 3 of 3 Specs in 99.983 seconds
09:37:02 FAIL! -- 2 Passed | 1 Failed | 0 Pending | 0 Skipped
09:37:02 --- FAIL: TestEndToEnd (99.98s)
09:37:02 FAIL
09:39:06 [1537968896] EndToEnd Suite - 3/3 specs •
{code}

*Build Logs*

https://logs.hyperledger.org/production/vex-yul-hyp-jenkins-3/fabric-verify-integration-tests-x86_64/2364/",,denyeart,latitiah,rameshthoomu,sambhavdutt,scottz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,d0f0c8a5f718ba695d11a837c2a31c94252d9452,Unset,No,,,"1|hzzson:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),denyeart,latitiah,rameshthoomu,sambhavdutt,scottz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26/Sep/18 11:54 PM;sambhavdutt;Integration tests have been passing now for several tests in the fabric verify jobs.

*Build Log*
https://logs.hyperledger.org/production/vex-yul-hyp-jenkins-3/fabric-verify-integration-tests-x86_64/2368/;;;","29/Sep/18 4:58 AM;sambhavdutt;Observed the same Timeout errors that are failing the fabric verify Integration tests.

{code:java}
09:36:08   Timed out after 1.000s.
09:36:08   Expected process to exit.  It did not.
{code}

*Build Logs*

https://logs.hyperledger.org/production/vex-yul-hyp-jenkins-3/fabric-verify-integration-tests-x86_64/2446/;;;","02/Oct/18 8:18 PM;sambhavdutt;The Integration tests have been successful without the timeout.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intermittent test failure in integration/discovery/discovery_test,FAB-12180,34112,,Bug,Closed,FAB,Fabric,software,denyeart,,,Low,Done,sykesm,sykesm,sykesm,26/Sep/18 11:17 PM,20/Mar/19 3:39 PM,28/Oct/23 3:04 AM,28/Sep/18 10:49 PM,,,,,,v1.3.0,,,,,,,,,0,ci-flake,,,,,"{code}
00:03:08.565 ------------------------------
00:03:08.567 • Failure in Spec Setup (BeforeEach) [18.072 seconds]
00:03:08.570 DiscoveryService [BeforeEach] discovers channel information 
00:03:08.571 /w/workspace/fabric-verify-integration-tests-x86_64/gopath/src/github.com/hyperledger/fabric/integration/discovery/discovery_test.go:85
00:03:08.571 
00:03:08.571   Timed out after 1.000s.
00:03:08.572   Expected process to exit.  It did not.
00:03:08.572 
00:03:08.572   /w/workspace/fabric-verify-integration-tests-x86_64/gopath/src/github.com/hyperledger/fabric/vendor/github.com/tedsuo/ifrit/ginkgomon/ginkgomon.go:146
00:03:08.573 ------------------------------
00:04:01.900 ••
00:04:01.900 
00:04:01.902 Summarizing 1 Failure:
00:04:01.902 
00:04:01.908 [Fail] DiscoveryService [BeforeEach] discovers channel information 
{code}

Timeout is not specified:
{code}
integration/discovery/discovery_test.go
101:		Eventually(sess).Should(gexec.Exit(1))
117:		Eventually(sess).Should(gexec.Exit(1))
199:		Eventually(sess).Should(gexec.Exit(1))
246:		Eventually(sess).Should(gexec.Exit(0))
297:		Eventually(sess).Should(gexec.Exit(0))
316:		Eventually(sess).Should(gexec.Exit())
{code}",,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzsov:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"27/Sep/18 12:04 AM;sykesm;https://gerrit.hyperledger.org/r/26601;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rewrite private data e2e tests using the new test framework,FAB-12181,34114,,Test Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,nirro,nirro,nirro,27/Sep/18 12:30 AM,03/Dec/18 7:42 PM,28/Oct/23 3:04 AM,03/Dec/18 7:42 PM,,,,,,v1.4.0,,,,,fabric-gossip,,,,0,,,,,,"need t re-write private data e2e tests using the new test framework.
as part of this task will also take care to fix private data tests flakes.",,C0rWin,nirro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-11329,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzspb:",,,,Unset,Unset,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Integration Test,,(Please add usage information),C0rWin,nirro,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"27/Sep/18 12:36 AM;nirro;https://gerrit.hyperledger.org/r/26604;;;","02/Dec/18 10:00 PM;C0rWin;Once CR is merged need to close FAB-11329 as well.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
