Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Issue split),Inward issue link (Issue split),Outward issue link (Issue split),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Move 0.6 topics / list the dropped topics,FAB-1705,14134,,Task,Closed,FAB,Fabric,software,denyeart,,,High,Done,joshhus,joshhus,joshhus,18/Jan/17 3:44 AM,20/Jul/18 11:11 PM,28/Oct/23 2:58 AM,18/Feb/17 6:38 AM,,,,,fabric-docs,,,,0,Documentation,,,,,,,,http://hyperledger-fabric.readthedocs.io/en/latest/,,joshhus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxicn:",,,,,,Sprint 12 - Documentation,,,,,,,,,,,,,,,,,,,,,,,,,joshhus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24/Jan/17 12:14 AM;joshhus;This task is essentially to strip the TOC (/fabric/mkdocs.yml) of everything and start over for Jan. 31 delivery.;;;","18/Feb/17 2:18 AM;joshhus;Note to myself and Nick and FYI for cc: ... this will all be pasted into the JIRA issue: https://jira.hyperledger.org/browse/FAB-1705?filter=-1

Nick just one thing for you - check the items marked ""TOC"" here.
---------------------------------------------------------------------------------------- 

Results of compare of v0.6 RTD content to current build. 

Next I'll move the items that clearly should be included, and will mark the JIRA issue with these results and the moves. 

Nick please search on ""TOC"" string for your TOC items. Section B. mostly. - the only short term reqs. for you.

(This mapping is not always a simple task - some content has been renamed/moved/consolidated or removed by the community.)


Flagging 2 categories of items in this note, A and B below.

(Will convert to Jira issues where appropriate.)

----------------------------------------------------------------------------------

A. Things we have in the v0.6 RTD doc that we don't appear to have in the current build (Barry's repo):

Note some of this might have been left out purposefully, or renamed/moved:

# Fabric Starter Kit (perhaps this is intended / covered by the Getting Started info now?)  http://hyperledger-fabric.readthedocs.io/en/v0.6/starter/fabric-starter-kit/
# Migrating chaincode: http://hyperledger-fabric.readthedocs.io/en/v0.6/v0.6_migration/  ... (note chaincode isn't the only migration thing that might need some doc).
# New Features: http://hyperledger-fabric.readthedocs.io/en/v0.6/v0.6_migration/#new-features
# Fabric Network Setup: http://hyperledger-fabric.readthedocs.io/en/v0.6/Setup/Network-setup/
# Logging Control - From http://fabric-rtd.readthedocs.io/en/latest/dev-setup/build/#logging -- we point to the github repo instead of to the RTD built file. http://hyperledger-fabric.readthedocs.io/en/v0.6/Setup/logging-control/  ... will move. 
# ACL: http://hyperledger-fabric.readthedocs.io/en/v0.6/tech/application-ACL/
# Protocol spec: http://hyperledger-fabric.readthedocs.io/en/v0.6/protocol-spec/
# Attributes: http://hyperledger-fabric.readthedocs.io/en/v0.6/tech/attributes/
# V1.0 Preview: http://hyperledger-fabric.readthedocs.io/en/v0.6/abstract_v1/

----------------------------------------------------------------------------------

B. Things that need updating in the current build / Barry's repo / build:

(I'm omitting from this list, all the ""WIP"" topics, b/c I think those are well-tracked already / have Jira issues.)

* Release notes: http://fabric-rtd.readthedocs.io/en/latest/releases/
* Nit / low FYI text in ""command"" table at the bottom too small: http://fabric-rtd.readthedocs.io/en/latest/chaincode/
* TOC tweaks - a) ""Docker Compose"" caps. b) Are we going to use the ""smart contracts"" term -- or instead ""chaincode applications"" only? c) ""CP Paper"" is redundant. 
* Notice -- in some cases we point to doc that is NOT in the fabric/docs dir, but in other dirs, such as fabric/dev-setup.... There are some fabric/apis etc. directories also ... These will need some confirmation that the devs have updated their content in there for v1.0 ... e.g. this page still references Vagrant: http://fabric-rtd.readthedocs.io/en/latest/dev-setup/build/ 
* Nit / low ... I don't like use of ""the blockchain"" ... there is no one ""blockchain"" that everyone uses. Even on one network, there are mutliple ""blockchains"" (ledgers with crypto-linked ""chain"" of blocks). So blockchain is a concept / abstraction, not a physical object. And can be used as a noun - ""we're using blockchain"" or an adjective - ""we're using a ""blockchain network"". See http://fabric-rtd.readthedocs.io/en/latest/carlease/ ... 
* While we're on car lease, let's at some point add title/registration tracking, and renewal / transfer of title/ownership, and insurance and registration renewal and proofs of purchase and not expired status. Also since we're selling the used car, also show me the carfax / vehicle history. 
* Usage FAQ: http://fabric-rtd.readthedocs.io/en/latest/FAQ/usage_FAQ/  (esp. ""validating node"" and the specific error message, which should be moved to Troubleshooting.) 
* ""Troubleshooting"" is currently limited to ""Docker Troubleshooting"" so it should either be renamed as such, or expanded to include other problems / error msgs. (It's also labeled ""optional"" ... which isn't really true for those having the problem. - delete ""optional"".) http://fabric-rtd.readthedocs.io/en/latest/asset_trouble/
* TOC - ""Multi Channel"" - change to ""Channels"" and point to the new topic.
* ""Consensus"" WIP http://fabric-rtd.readthedocs.io/en/latest/consensus/  ... text says that consensus is used as a ""broader term than ordering to include the entire transactional flow"" ... We should change that text--we don't want to reinvent the established concept of ""consensus algorithms"" or ""consensus protocols."" ... I think what we mean here is that depending on the plug-in used for the ordering component, it may or may not be a ""consensus"" algorithm/protocol. ... e.g. PFBT is a consensus protocol because it solves, to a degree, the consensus problem - which is when message recipients receive divergent conflicting messages, basically. (I'm not certain that SOLO and Kafka are also truly consensus protocols in that they solve the consensus problem - that a protocol orders stuff doesn't mean that it necessarily solves the consensus problem. ... I will have to look into that more.) If all agree, I can take the Consensus topic.
* TOC: Appendix: ""Development process and code"" is limited to just ""Fabric development process and code"" so needs a rename.
* TOC: Gerrit heading - there are a number of adjacent topics at same level as Gerrit heading that are also Gerrit topics. 
* Contributing - Legal Stuff - we have the signoff, but do we need to add the hooks for the ChangeID? ... (and is that really ""legal"" stuff? - scary.) http://fabric-rtd.readthedocs.io/en/latest/CONTRIBUTING/#legal-stuff
* Nit  / low - some of our links that take the user to an external site we should be opening a new browser tab for them. - someone goes to an external site, click a few times, and then can't find their way back to us easily. e.g. we link to https://jira.hyperledger.org/secure/Dashboard.jspa  from http://fabric-rtd.readthedocs.io/en/latest/CONTRIBUTING/#coding-guidelines ... (and while we're there, it's fewer than eight, not less than, in Maintainers.)


;;;","18/Feb/17 6:26 AM;joshhus;B) Moved to https://jira.hyperledger.org/browse/FAB-2346 ... those are separate items from the move issue. 
;;;","18/Feb/17 6:36 AM;joshhus;Examination of v0.6 complete, and the relevant files are in the RTD staging dir. ... 
i.e. these might be / are candidates for being edited / included in v1.0 library.

They are as follows: 

# fabric/docs/abstract_v1.md
# fabric/docs/protocol-spec.md
# fabric/docs/v0.6_migration.md
# fabric/docs/tech/application-ACL.md
# fabric/docs/tech/attributes.md
# fabric/docs/starter/fabric-starter-kit.md
# fabric/docs/Setup/Network-setup.md
# fabric/docs/dev-setup/build.md;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add new v1.0 topics to library build,FAB-1706,14135,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,joshhus,joshhus,joshhus,18/Jan/17 3:44 AM,20/Jul/18 11:11 PM,28/Oct/23 2:58 AM,17/Feb/17 7:00 AM,,,,,,,,,0,,,,,,,,,http://hyperledger-fabric.readthedocs.io/en/latest/,,joshhus,markparz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxicv:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joshhus,markparz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17/Feb/17 7:00 AM;markparz;Completed with new TOC;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provide tests and examples for chaincode query against CouchDB,FAB-1709,14138,12504,Sub-task,Closed,FAB,Fabric,software,denyeart,,,High,Done,,denyeart,denyeart,18/Jan/17 5:31 AM,20/Jul/18 11:11 PM,28/Oct/23 2:58 AM,02/Feb/17 12:19 AM,,,,,fabric-ledger,,,,0,ledger,,,,,,,,Ledger API ExecuteQuery() needs to be callable from chaincode.  Need to provide chaincode tests and examples.,,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-1506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxidj:",,,,,,Sprint 10 - Ledger,,,,,,,,,,,,,,,,,,,,,,,,,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add orderer addresses configuration item,FAB-1710,14139,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,jyellick,jyellick,jyellick,18/Jan/17 6:23 AM,21/Jul/18 3:56 AM,28/Oct/23 2:58 AM,01/Feb/17 4:29 AM,,,,,fabric-orderer,,,,0,common-components,,,,,,,,Add a configuration item which will let the peers know in `JoinChannel` which orderer addresses may be connected to.,,jyellick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzxidr:",,,,Unset,,,,,,,,,,,,,,,1.0,Unset,,,,,,,,,,,jyellick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
createConfigItem in blockutils over-writes item type with ConfigurationItem_Orderer,FAB-1711,14140,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,yacovm,yacovm,yacovm,18/Jan/17 6:34 AM,20/Jul/18 11:11 PM,28/Oct/23 2:58 AM,19/Jan/17 6:47 AM,,,,,,,,,0,,,,,,,,,"In protos/utils/blockutils.go there is a bug:
{code:title=protos/utils/blockutils.go|borderStyle=solid}
func createConfigItem(chainID string,
	configItemKey string,
	configItemValue []byte,
	modPolicy string) *cb.ConfigurationItem {

	ciChainHeader := MakeChainHeader(cb.HeaderType_CONFIGURATION_ITEM,
		messageVersion, chainID, epoch)
	configItem := MakeConfigurationItem(ciChainHeader,
		cb.ConfigurationItem_Orderer, lastModified, modPolicy,
		configItemKey, configItemValue)

	return configItem
}
{code}

This is a problem because it's also used by methods not for orderer type of config items like: *EncodeMSPUnsigned*",,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxidz:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
add event listener ports to docker-compose in test fixtures,FAB-1713,14142,13227,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,jimthematrix,jimthematrix,jimthematrix,18/Jan/17 7:02 AM,20/Jul/18 11:11 PM,28/Oct/23 2:58 AM,26/Jan/17 3:09 PM,,,,,fabric-sdk-node,,,,0,,,,,,,,,this is in anticipation of the event hub support being revived for node.js sdk. the test fixtures need to be updated to use the event stream on port 7053,,jimthematrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxief:",,,,,,Sprint 5 - Consensus,Sprint 7 - nodeSDK,Sprint 8 - nodeSDK,Sprint 9 - nodeSDK,Sprint 10 - nodeSDK,Sprint 11 - SDK node,Sprint 12 - SDK node,Sprint 13 - SDK node,Sprint 14 - SDK node,Sprint 15 - SDK node,Sprint 16 - SDK node,,,,,,,,,,,,,,,jimthematrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dev,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final protos/peer cleanup,FAB-1715,14144,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,muralisr,muralisr,muralisr,18/Jan/17 10:13 AM,20/Jul/18 11:11 PM,28/Oct/23 2:58 AM,13/Apr/17 5:32 PM,,,,,fabric-peer,,,,0,,,,,,,,,"Task 1
* remove ""fabric_"" from filnames.
* consolidate files so we don't have so many.
* remove unused entries in ""fabric.proto"".

Task 2
* change ""Ctor"" field to ""Input"" field in chaincode

Task 3
* remove remaing security context fields from chaincode.proto (the old unused ones)



",,muralisr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-1716,FAB-1717,FAB-1722,FAB-1729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxiev:",,,,,,Sprint 9 - Endorser,,,,,,,,,,,,,,,,,,,,,,,,,muralisr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peer/protos consolidation,FAB-1716,14145,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,muralisr,muralisr,muralisr,18/Jan/17 10:48 AM,20/Jul/18 11:11 PM,28/Oct/23 2:58 AM,20/Jan/17 9:39 AM,,,,,fabric-peer,,,,0,,,,,,,,,Task 1 in FAB-1715,,muralisr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxif3:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muralisr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
change Ctor field to Input in chaincode.Proto,FAB-1717,14146,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,muralisr,muralisr,muralisr,18/Jan/17 10:48 AM,20/Jul/18 11:11 PM,28/Oct/23 2:58 AM,20/Jan/17 9:39 AM,,,,,,,,,0,,,,,,,,,Task 2 in FAB-1715,,muralisr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxifb:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muralisr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Means for detecting a tamper of Blockchain or State database by checking hash values,FAB-1721,14150,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,,ryokawajp,ryokawajp,18/Jan/17 2:51 PM,21/Jul/18 3:56 AM,28/Oct/23 2:58 AM,14/Apr/17 9:35 PM,,,DUPLICATE,v0.6,fabric-ledger,,,,0,Ledger,,,,,,,,"Hello.

Users of our system are curious about how Fabric is tamper proof.
However, I understand that not all the modifications are checked because of performance reasons.
State Hash is updated only when the state delta of World State is changed.

So, 
I and my colleagues did tests of detection capability of tampering to Blockchain and World State databases and found that there is no means to update Block Hash or State Hash to detect those modifications in some test cases.
I think 
it will be helpful for peer administrators if Fabric has a function which force Fabric to check and update all the blocks and the states at a desired timing.

Here is a summary of our test:

Conditions
- Hyperledger Fabric v0.6.0-preview
- hfc 0.6.5
- security and privacy enabled.
- 4 peers with PBFT consensus.
- PBFT Batch = 1
- Modification of World State and Blockchain databases are done by an external tool similar to https://github.com/hyperledger/fabric/tree/v0.6/tools/dbutility if the peer is stopped.
- Modification of Blockchain database is done by adding a modification code to github.com/hyperledger/fabric/core/ledger/blockchain.go if a peer is running.

Test cases:
# Delete one key in World State when a peer is stopped and see whether State Hash is updated or not after the restart of the peer.
#* Result: Not updated. A chaincode may cause an error if it tries to access the key.
# Modify a Txid in the latest block in Blockchain when a peer is stopped and see whether Current Block Hash is updated or not, after the restart of the peer.
#* Result: Not updated. After processing several transactions, the peer caused a panic and crashed (the log to be attached later.)
# Modify a Txid in a past block in Blockchain when a peer is stopped and see whether Current Block Hash is updated or not, after the restart of the peer.
#* Result: Updated. Blockchain was checked at the boot sequence of the peer and fixed by the state transfer.
# Modify a Txid in a past block in Blockchain when a peer is running and see whether Current Block Hash is updated or not
#* Result: Not updated. 

(Note that I chosen these test cases as examples of tampering because the values of World State and transaction payloads are encrypted and not easy to decrypt)

As indicated in the test results above, State Hash is updated only when State Delta is changed through the chaincode API. If a key is modified by an external tool, State Delta will not be updated unless the key belongs to a bucket which also contains the state delta.
Similarly, consistency of the block hash and the block value is checked only at the beginning of a peer process. Therefore, it is not possible to detect and correct the modification of a past block if it is modified when a peer is running.

Of course, in all of the test cases, the blockchain network made correct consensuses. That is, the tampered data was not accepted by other peers in any cases.
However, from a peer administrator point of view, it is important to know that his databases are out-of-sync, because he needs to identify the root cause, write some incident report and fix the modification by the state transfer from other peers.

In Fabric v1.0, I heard that the read set and the write set of a chaincode in a transaction processing are compared with those in other endorser peers, and hence the tampering of World State will be mitigated.

But it will be helpful if Fabric has an option which force the checks and updates of hashes of all the blocks and the states (buckets) so that an administrator can use that function at some occasions like a security audit or after an accident.
",,ChristopherFerris,denyeart,ryokawajp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzxifz:",,,,Unset,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,ChristopherFerris,denyeart,ryokawajp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14/Apr/17 8:54 PM;ChristopherFerris;[~denyeart] if this is no longer relevant, please mark WONTFIX and close. If relevant and yuo want to bring it forward, then add fixVersion v1.0.0. Thanks;;;","14/Apr/17 9:35 PM;denyeart;[~ryokawa] [~ChristopherFerris]
FAB-609 is the 1.0 equivalent of this 0.6 Improvement request.  I will close this one as a duplicate of FAB-609.;;;","14/Apr/17 9:42 PM;ChristopherFerris;thanks;;;","17/Apr/17 8:04 PM;ryokawajp;[~ChristopherFerris] [~denyeart] Thank you. I am happy to hear that the capability is being developed for v1.0.0 in FAB-609.
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
