Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Git Code Review),Outward issue link (Issue split),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Improper check (could lead to state fork),FAB-10201,30376,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,ales,manish-sethi,manish-sethi,18/May/18 11:50 AM,23/Jan/20 7:32 AM,28/Oct/23 3:03 AM,23/Jan/20 7:32 AM,,,,,,,,,,,,fabric-peer,,,,,0,stale-item,,,,,,"[https://github.com/hyperledger/fabric/blob/master/core/committer/txvalidator/validator.go#L332]

Though this is correct that `err == nil` indicates the presence of txid but reverse is not true (i.e., `err != nil` does not guarantee the absence of txid, unless the error is specifically of type [https://github.com/hyperledger/fabric/blob/master/common/ledger/blkstorage/blockstorage.go#L47]. For instance, this could be a general filesystem access error.

Any general error should be propagated up and should cause a peer panic since the validation code for the transaction cannot be decided.",,ales,manish-sethi,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzzb3z:",,,,,,,,,,,,,,,,,,,,,ales,manish-sethi,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"18/May/18 6:30 PM;ales;https://gerrit.hyperledger.org/r/#/c/21979/;;;","23/Jan/20 7:32 AM;sykesm;Stale;;;",,,,,,,,,,,,,,,,,,,,,,,,,
Improve detection of cc invocation after cc upgrade,FAB-10202,30377,36665,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,ales,ales,ales,18/May/18 6:51 PM,16/Jan/19 7:19 PM,28/Oct/23 3:03 AM,16/Jan/19 7:19 PM,,,,,,,,,v2.0.0,,,,,,,,0,,,,,,,"It is important that fabric guarantees the following



""_if a chaincode is upgraded, all subsequent transactions invoking that chaincode must use the new chaincode definition (incl. new code, new endorsement policy, new ESCC/VSCC etc.)""_

 

Currently fabric has 2 ways of doing so:
 # invocations of a chaincode introduce a read dependency in the LSCC namespace for the chaincode definition; if tx_\{i} upgrades the chaincode and tx_\{i+1} invokes the old chaincode, tx_\{i+1} will be marked as invalid because of the MVCC error
 # function _invalidTXsForUpgradeCC_ tracks chaincodes that are invoked after an upgrade, and invalidates transactions based on that

This needs to be restructured for the following reasons:
 * there is no code in the committer checking that appropriate LSCC read dependencies have been introduced for all chaincodes that have been invoked (i.e. for which there is a rwset side-effect)
 * function _invalidTXsForUpgradeCC_ only handles direct chaincode invocations and not chaincodes that are invoked in a chaincode-to-chaincode way

We should either add a check that appropriate LSCC read dependencies have been introduced (and remove invalidTXsForUpgradeCC), or fix invalidTXsForUpgradeCC so that it also handles chaincode-to-chaincode invocations.",,ales,denyeart,DexHunter,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzzb47:",,,,Unset,,v2.0,,,,Unset,,,,,,,,,,,ales,denyeart,DexHunter,yacovm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"18/May/18 6:53 PM;ales;[~muralisr], [~jyellick], [~yacovm], [~mastersingh24], [~elli-androulaki], [~angelo.decaro]: thoughts?;;;","18/May/18 10:29 PM;yacovm;First and foremost i think we need to make sure we have a UT that actually checks that read dependency... I skimmed through endorser_test and doesn't look like there is one.
I guess it's introduced via the chaincode definition being retrieved via an SCC call to LSCC.getccdata (by the way... I think that for system chaincodes this doesn't apply.)

As for the restructuring - I guess it makes sense to add a check in the validator, but I'm not sure it's worth to do that for v1.2 as long as we're sure that in v1.0 and v1.1 and v1.2 we add that read dependency.

Long term:

I hate to say this - but I think all these validation checks spread across so many parts of the code (VSCC and vscc_validator, and validator) could use some consolidation.
I think we should think of how to move to a model where all checks are done in VSCC.

As for _invalidTXsForUpgradeCC_  - we also get the read dependency for those in the chaincode code (handler.go:859) so why indeed not remove that upgrade check long term altogether as you suggest? makes sense to me

 

Adding [~denyeart] and [~manish-sethi];;;","24/Sep/18 5:18 AM;denyeart;Bulk Jira update:
For remaining tasks with FixVersion v1.3.0, the Reporter should update to v1.4.0 or Future, or Close.
Add a comment with any clarification needed, so that release managers can close out v1.3.0 release cleanly.;;;",,,,,,,,,,,,,,,,,,,,,,,,
Set error code and not tx validation code in PostValidation,FAB-10203,30378,28450,Sub-task,Closed,FAB,Fabric,software,denyeart,,,Medium,Invalid,,ales,ales,18/May/18 7:00 PM,20/Jul/18 11:17 PM,28/Oct/23 3:03 AM,20/Jul/18 11:05 PM,,,,,,,,,,,,,,,,,0,,,,,,,,,ales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzzb4f:",,,,,,Sprint 6 - NextGen Endorseme 2,,,,,,,,,,,,,,,ales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NodeSDK memory leak,FAB-10204,30379,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Invalid,,grapebaba,grapebaba,18/May/18 7:19 PM,20/Jul/18 11:17 PM,28/Oct/23 3:03 AM,20/Jul/18 11:05 PM,,,,,,,,,,,,,,,,,0,,,,,,,,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzzb4n:",,,,,,,,,,,,,,,,,,,,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade Test: Abort upgrade process at PONR,FAB-10206,30381,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,nagap,nagap,nagap,18/May/18 9:37 PM,30/Jul/19 11:42 AM,28/Oct/23 3:03 AM,30/Jul/19 11:42 AM,,,,,,,,,Future,,,fabric-quality,,,,,0,Quality,SystemTestcase,,,,,"{noformat}
Test Scenario: 
ABORT the upgrade process 
AT the point-of-no-return PONR just after upgrading all fabric components to v1.2 
BUT before any orderer channel reconfiguration (every step up to the point-of-no-return) 
THEN roll back to v1.1 version again.{noformat}
{color:#000000}Refer:{color}
 * [https://docs.google.com/document/d/16ZogU_InYeLZZ8lTGNdBhd4Iosi7T4KP3ppFSEUcI30/edit?ts=5a285ab9#heading=h.gfha2pfdu0uz]
 * [https://github.com/jeffgarratt/fabric-prototype/blob/master/features/upgrade.feature#L519|https://github.com/jeffgarratt/fabric-prototype/blob/master/features/upgrade.feature]
 * {color:#444444}Point Of No Return should be at line 519 in the upgrades file, before the ordering system channel update.{color}",,jyellick,mastersingh24,nagap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-10087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-10085,,,,,,,,,"1|hzzb53:",,,,,,,,,,,,,,,,,,,,,jyellick,mastersingh24,nagap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23/May/18 11:10 AM;jyellick;In the v1.2 upgrade, there is no upgrade to the orderer system channel.  However, you may consider enabling the application v1.2 capability as a PONR for the application channel and its peers.;;;","30/Jul/19 11:42 AM;mastersingh24;Open 1 year or more with no activity ... time to cleanup;;;",,,,,,,,,,,,,,,,,,,,,,,,,
fabric-ca jobs building and running extraneous things,FAB-10207,30385,,Bug,Closed,FAB,Fabric,software,denyeart,,,High,Done,mastersingh24,mastersingh24,mastersingh24,18/May/18 10:08 PM,20/Jul/18 11:16 PM,28/Oct/23 3:03 AM,19/May/18 12:50 AM,,,,,,,,,v1.2.0,,,fabric-ci,,,,,0,CI_Optimization,,,,,,"The fabric-ca end-2-end job needlessly builds the fabric-ca-* images which are never actually used.
It also runs the e2e cli test which is both outdated and does not even exercise the fabric-ca",,mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzzb5b:",,,,,,,,,,,,,,,,,,,,,mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18/May/18 11:20 PM;mastersingh24;https://gerrit.hyperledger.org/r/21989;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
"peers.md could use a makeover -- grammar, fonts, wording, etc.",FAB-10210,30391,,Story,Closed,FAB,Fabric,software,denyeart,,,Low,Done,rpjday,rpjday,rpjday,19/May/18 1:06 AM,21/Jul/18 3:50 AM,28/Oct/23 3:03 AM,19/May/18 11:53 AM,,,,,,,,,v1.2.0,,,fabric-docs,,,,,0,,,,,,,"peers.md could stand some cleanup:
 * wording
 * grammar
 * standardize on em dashes",,denyeart,rpjday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzzb67:",,,,Unset,,,,,,Unset,,,,,,,,,,,denyeart,rpjday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"19/May/18 11:53 AM;denyeart;https://gerrit.hyperledger.org/r/#/c/21997/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
Make context deadline timeout variable tunable,FAB-10211,30394,,Story,Closed,FAB,Fabric,software,denyeart,,,Low,Duplicate,,SimonOberzan,SimonOberzan,19/May/18 1:55 AM,21/Jul/18 3:47 AM,28/Oct/23 3:03 AM,20/Jul/18 11:06 PM,,,,,,,,,Future,,,fabric-peer,,,,,0,help-wanted,,,,,,"The [context deadline timeout|https://github.com/hyperledger/fabric/blob/release-1.1/peer/common/peerclient.go#L31] is currently fixed to 3 seconds. In some cases (e.g. when DNS is slow) the connection drops too quickly, so the ability to tune the timeout variable would be great.",,jyellick,SimonOberzan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-10247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzzb6n:",,,,Unset,,,,,,Unset,,,,,,,,,,,jyellick,SimonOberzan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19/May/18 2:10 AM;jyellick;This should be fairly low hanging fruit and would be a good task for someone looking to start contributing to fabric.  The timeout is hardcoded:

https://github.com/hyperledger/fabric/blob/release-1.1/peer/common/peerclient.go#L31
https://github.com/hyperledger/fabric/blob/release-1.1/peer/common/ordererclient.go#L34

So it would hopefully be a fairly simple task to simply override these when a flag is given.;;;","22/May/18 10:59 PM;wlahti;I was thinking the same thing recently as I noticed how slow the tests were running in this area. I created another JIRA and already have a pending CR so I'm going to mark this item as a duplicate of FAB-10247.;;;",,,,,,,,,,,,,,,,,,,,,,,,,
idemixgen not showing proper version info,FAB-10212,30395,,Bug,Closed,FAB,Fabric,software,denyeart,,,High,Done,mastersingh24,mastersingh24,mastersingh24,19/May/18 2:02 AM,20/Jul/18 11:16 PM,28/Oct/23 3:03 AM,19/May/18 7:56 AM,,,,,,,,,v1.2.0,,,fabric-tools,,,,,0,,,,,,,idemixgen currently imports the orderer metadata package.  It actually needs its own in order to work with the current Makefile,,mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzzb6v:",,,,,,,,,,,,,,,,,,,,,mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"19/May/18 2:09 AM;mastersingh24;https://gerrit.hyperledger.org/r/22003;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
Add output directory option for idemixgen,FAB-10213,30396,,Story,Closed,FAB,Fabric,software,denyeart,,,High,Done,mastersingh24,mastersingh24,mastersingh24,19/May/18 3:16 AM,21/Jul/18 3:49 AM,28/Oct/23 3:03 AM,19/May/18 7:56 AM,,,,,,,,,v1.2.0,,,fabric-tools,,,,,0,,,,,,,Need to be able to specify an output directory for idemixgen,,mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-10217,,,,,,,,,FAB-10234,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzzb73:",,,,Unset,,,,,,Unset,,,,,,,,,,,mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"19/May/18 4:00 AM;mastersingh24;https://gerrit.hyperledger.org/r/22005;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
idemix APIs should hide the use of protobufs to CA,FAB-10214,30397,,Story,Closed,FAB,Fabric,software,denyeart,,,Medium,Won't Do,,smithbk,smithbk,19/May/18 4:11 AM,23/Jan/20 7:32 AM,28/Oct/23 3:03 AM,23/Jan/20 7:32 AM,,,,,,,,,Future,,,fabric-crypto,,,,,0,idemix,stale-item,,,,,"The idemix APIs should hide the use of protobufs in its APIs.
It can do this by:
a) adding XXXToBytes and XXXFromBytes functions for all XXXobjects that are returned.  This allows fabric CA to serialize/deserialize these objects over the wire or when persisting them.  An example is the IssuerKey which fabric CA needs to persist.
b) not use any explicit protobuf structs in any of its function signatures, but just define types such as
         type IdemixIssuerKey interface{}
         func NewIssuerKey(...) (IdemixIssuerKey, error)",,angelo.decaro,elli-androulaki,smithbk,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzwrxr:",,,,Unset,,,,,,Unset,,,,,,,,,,,angelo.decaro,elli-androulaki,smithbk,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12/Sep/18 7:01 PM;elli-androulaki;[~smithbk], [~dubovitskaya], [~angelo.decaro] is this tackled already?;;;","12/Sep/18 7:43 PM;smithbk;Given where we are in the v1.3 cycle, I agreed that this could be changed to v1.4.
This means however that, in order to maintain backwards compatibility, that you will need to create additional APIs which don't use protobuf but not change the existing ones.  Obviously they could be deprecated and removed eventually.;;;","10/Dec/18 7:04 PM;angelo.decaro;[~smithbk], I guess this can be closed given that idemix has been integrated in BCCSP (protobuf are not exposed anymore). Correct?;;;","23/Jan/20 7:32 AM;sykesm;Stale;;;",,,,,,,,,,,,,,,,,,,,,,,
[CI] - Update fabric build script to fix the voting issue,FAB-10215,30398,,Task,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,rameshthoomu,rameshthoomu,rameshthoomu,19/May/18 4:37 AM,20/Jul/18 11:16 PM,28/Oct/23 3:03 AM,21/May/18 8:46 AM,,,,,,,,,,,,fabric-ci,,,,,0,CI_Adhoc_Req,,,,,,Update fabric build script to fix the voting issue,,rameshthoomu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-10181,,,,,,,,,"1|hzykzj:",,,,,,,,,,,,,,,,,,,,,rameshthoomu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21/May/18 8:46 AM;rameshthoomu;https://gerrit.hyperledger.org/r/#/c/22007/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
"duplicate images built in fabric when make docker-images, using up disk space",FAB-10216,30399,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Done,,scottz,scottz,19/May/18 5:03 AM,20/Jul/18 11:16 PM,28/Oct/23 3:03 AM,13/Jun/18 1:20 AM,,,,,,,,,Not a Bug,v1.2.0,,fabric-build,,,,,0,,,,,,,"With a clean system, in this case using Vagrant, in the fabric directory, ""make docker-images"" produces triples of most images. This uses up so much space. Why are all these necessary?

{{$ docker images}}
 \{\{ REPOSITORY TAG IMAGE ID CREATED SIZE}}
 \{\{ hyperledger/fabric-tools amd64-1.2.0-snapshot-c6d0e6c 085aba8cc114 2 minutes ago 1.46GB}}
 \{\{ hyperledger/fabric-tools amd64-latest 085aba8cc114 2 minutes ago 1.46GB}}
 \{\{ hyperledger/fabric-tools latest 085aba8cc114 2 minutes ago 1.46GB}}
 \{\{ <none> <none> e65b53797477 2 minutes ago 1.82GB}}
 \{\{ hyperledger/fabric-testenv amd64-1.2.0-snapshot-c6d0e6c 741ca3a32d68 4 minutes ago 1.56GB}}
 \{\{ hyperledger/fabric-testenv amd64-latest 741ca3a32d68 4 minutes ago 1.56GB}}
 \{\{ hyperledger/fabric-testenv latest 741ca3a32d68 4 minutes ago 1.56GB}}
 \{\{ hyperledger/fabric-buildenv amd64-1.2.0-snapshot-c6d0e6c accd067a6cf9 4 minutes ago 1.47GB}}
 \{\{ hyperledger/fabric-buildenv amd64-latest accd067a6cf9 4 minutes ago 1.47GB}}
 \{\{ hyperledger/fabric-buildenv latest accd067a6cf9 4 minutes ago 1.47GB}}
 \{\{ hyperledger/fabric-ccenv amd64-1.2.0-snapshot-c6d0e6c bc487e787cb5 4 minutes ago 1.42GB}}
 \{\{ hyperledger/fabric-ccenv amd64-latest bc487e787cb5 4 minutes ago 1.42GB}}
 \{\{ hyperledger/fabric-ccenv latest bc487e787cb5 4 minutes ago 1.42GB}}
 \{\{ hyperledger/fabric-orderer amd64-1.2.0-snapshot-c6d0e6c 310fc04e27fe 7 minutes ago 147MB}}
 \{\{ hyperledger/fabric-orderer amd64-latest 310fc04e27fe 7 minutes ago 147MB}}
 \{\{ hyperledger/fabric-orderer latest 310fc04e27fe 7 minutes ago 147MB}}
 \{\{ hyperledger/fabric-peer amd64-1.2.0-snapshot-c6d0e6c 64232ed4f541 7 minutes ago 154MB}}
 \{\{ hyperledger/fabric-peer amd64-latest 64232ed4f541 7 minutes ago 154MB}}
 \{\{ hyperledger/fabric-peer latest 64232ed4f541 7 minutes ago 154MB}}
 \{\{ hyperledger/fabric-baseimage amd64-0.4.8 308611935930 3 weeks ago 1.39GB}}
 \{\{ hyperledger/fabric-baseos amd64-0.4.8 83b7b016c8e5 3 weeks ago 128MB}}",,mastersingh24,scottz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzzb7b:",,,,,,,,,,,,,,,,,,,,,mastersingh24,scottz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20/May/18 8:46 PM;mastersingh24;[~scottz] - It's 3 different tags all referencing the same physical image on disk;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
idemixgen tool should be able to indicate where the output files should be located,FAB-10217,30400,,Bug,Closed,FAB,Fabric,software,denyeart,,,Medium,Duplicate,mdr,latitiah,latitiah,19/May/18 5:09 AM,20/Jul/18 11:17 PM,28/Oct/23 3:03 AM,20/Jul/18 11:06 PM,,,,,,,,,DUPLICATE,,,,,,,,0,,,,,,,"commit sha: d78039b7da7a02a3d5ba107a6ff1c4315fd11099

The idemixgen tool should be able to indicate where the output files should be located.

Currently, when executing either of the idemixgen commands, the output is always generated in the current directory. We need to be able to indicate where the output files will go from the tool.
",,latitiah,mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-10213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzzb7j:",,,,,,,,,,,,,,,,,,,,,latitiah,mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21/May/18 4:57 AM;mastersingh24;this is already done and merged;;;","21/May/18 4:58 AM;mastersingh24;https://gerrit.hyperledger.org/r/22005;;;",,,,,,,,,,,,,,,,,,,,,,,,,
Keys managed by the file based key store shouldn't be executable,FAB-10218,30401,,Bug,Closed,FAB,Fabric,software,denyeart,,,Low,Done,sykesm,sykesm,sykesm,19/May/18 5:10 AM,20/Jul/18 11:16 PM,28/Oct/23 3:03 AM,19/May/18 7:47 AM,,,,,,,,,,,,,,,,,0,,,,,,,"bccsp/sw/fileks.go writes its files with permission 0700 - implying they're executable; they're not.",,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzzb7r:",,,,,,,,,,,,,,,,,,,,,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mergify/bp/release-2.2/pr-4374,release-2.5,release-2.4,main,mergify/bp/release-2.2/pr-3750,mergify/bp/release-2.5/pr-3782,mergify/bp/release-2.4/pr-3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"19/May/18 5:25 AM;sykesm;https://gerrit.hyperledger.org/r/22011;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
