Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Flagged),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
"As an app using LibIndy, I need to be able to work with both IndyNode 1.3 and IndyNode 1.4",IS-748,30934,,Task,Complete,IS,Indy SDK,software,resplin,,,High,Done,VladimirWork,ashcherbakov,ashcherbakov,07/Jun/18 4:29 PM,21/Jun/18 9:55 PM,28/Oct/23 2:49 AM,21/Jun/18 6:47 PM,,,,,,,,0,,,,,"As Indy Node 1.4 release contains breaking changes, it can work with the new clients supporting this changes only.

So, all requests from libindy to the pool need to be sent with a new protocolVersion.

*Acceptance criteria:*
 * there is a global property PROTOCOL_VERSION in libindy which is used in every request to the pool (Request and LedgerStatus messages)
 * by default PROTOCOL_VERSION=1 (for IndyNode 1.3, old one), so that by default LibIndy 1.5 will work with IndyNode 1.3, but not with IndyNode 1.4.
 * add a method `indy_set_protocol_version()` (should be called during initialization of the app) which will set global PROTOCOL_VERSION which is passed to all requests
 * add a check to `indy_open_pool`:
 ** if PROTOCOL_VERSION=1, and the passed genesis txn file is in a new (1.4) format - raise an Error which will say to the user to call `indy_set_protocol_version(2)`
 ** if PROTOCOL_VERSION=2, and the passed genesis txn file is in old (1.3) format - raise an Error which will say to the user to call `indy_set_protocol_version(1)`
 * use PROTOCOL_VERSION=2 and the latest master in all integration tests",,,,,,,,,,,,,,,INDY-1393,,,,,,,,,,,,,,,,,,,,,,,"21/Jun/18 6:19 PM;VladimirWork;IS-748_case2.PNG;https://jira.hyperledger.org/secure/attachment/15156/IS-748_case2.PNG","20/Jun/18 10:52 PM;VladimirWork;Node1.log;https://jira.hyperledger.org/secure/attachment/15127/Node1.log",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzze27:",,,,,,EV 18.12 Release New Wallet,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,Artemkaaas,ashcherbakov,VladimirWork,,,,,,,,,"09/Jun/18 6:13 PM;ashcherbakov;Please try with indy-node 1.3.450;;;","13/Jun/18 5:41 PM;Artemkaaas;Implemented in PR: https://github.com/hyperledger/indy-sdk/pull/868;;;","18/Jun/18 1:35 PM;Artemkaaas;Changes: Added global property PROTOCOL_VERSION to specify the version of IndyNode wich Libindy works. Added API function indy_set_protocol_version to set protocol version. Build version: master-586;;;","20/Jun/18 7:47 PM;VladimirWork;{color:#14892c}1. Pool 1.3 (last stable) works with SDK 1.5 (last master) - works{color}
{color:#14892c}2. Pool 1.4 (last master) doesn't work with SDK 1.4 (last stable) - doesn't work and raises ""Make sure that the latest LibIndy is used and `set_protocol_version(2)` is called"" on txn sending{color}
{color:#14892c}3. Pool 1.4 (last master) doesn't work with SDK 1.5 (last master) without `set_protocol_version(2)` - doesn't work and raises ErrorCode.PoolIncompatibleProtocolVersion{color}
{color:#14892c}4. Pool 1.4 (last master) works SDK 1.5 (last master) with `set_protocol_version(2)` - works{color};;;",,,,,,,,,,,,,,,,,,,,,,,,,,
Wallet Enhancements: Merge Import/Export PRs,IS-749,30960,,Task,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,gudkov,gudkov,gudkov,08/Jun/18 9:05 PM,18/Jun/18 10:32 PM,28/Oct/23 2:49 AM,18/Jun/18 5:53 PM,,,1.5,,,,,0,,,,,"We need review and merge Wallet Import/Export PRs.

*Acceptance criteria*

- Code reviewed to satisfy indy-sdk architecture, code style and quality standards
- Documentation validated
- PR merged",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzze3b:",,,,,,EV 18.12 Release New Wallet,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,gudkov,,,,,,,,,,,"18/Jun/18 5:53 PM;gudkov;PRs were reviewed, merged, integration tests provided and CI pass. So we can consider this as Done.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concern with BLS signature implementation,IS-750,30961,,Task,Complete,IS,Indy SDK,software,resplin,,,High,Done,Artemkaaas,esplinr,esplinr,08/Jun/18 9:45 PM,31/Jul/18 4:28 AM,28/Oct/23 2:49 AM,30/Jul/18 9:33 PM,1.3,,1.6.2,,,,,0,,,,,"Details are contained here:

https://docs.google.com/document/d/14wcYSn9XXX6-0M5le1icT6N-funiB7K9cActzYfILto/edit",,,,,,,,,,,,,,,INDY-1389,,,,,,,,,,,,IS-848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzzjmf:",,,,,,EV 18.15,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,esplinr,lovesh,sergey.minaev,,,,,,,,,"15/Jun/18 12:04 AM;lovesh;Please keep me in loop on this;;;","26/Jun/18 12:47 AM;lovesh;Please see the update in the doc;;;","29/Jun/18 6:42 AM;lovesh;Please see the short term and long term solution in the doc;;;","30/Jun/18 12:53 AM;lovesh;The PoA has been approved. Check the doc.;;;","30/Jul/18 9:32 PM;sergey.minaev;Crypto changes was reviewed by [~MikeLodder]. Usage of it should be verified in scope of INDY-1389. Integration with Indy-Node will be done separately (IS-848), so this ticket can be considered as done;;;",,,,,,,,,,,,,,,,,,,,,,,,,
[intermittent] Error 304 when processing ledger txns with libnullpay,IS-751,30970,,Bug,Complete,IS,Indy SDK,software,resplin,,,Medium,Invalid,,DouglasWightman,DouglasWightman,09/Jun/18 3:04 AM,30/Mar/19 5:57 AM,28/Oct/23 2:49 AM,30/Mar/19 5:57 AM,,,,,,,,0,,,,,"Periodically we receive error 304 when running tests against libindy and libnullpay (using version 129b813d6b247a14b869759bdfe56ad15b2fabbc).  It happens for random transactions and we're not sure what causes it.  This only happens 10% of the time.  I'm attaching a log file that captures the error.

In our test we create a pool, wallet, set fees and mint some tokens, then we proceed to write a schema to the ledger.  This is using a docker instance created from the ""ci"" directory in indy-sdk.

Please let me know if we are doing something incorrect in our usage of libindy and libnullpay.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09/Jun/18 3:03 AM;DouglasWightman;fail.log;https://jira.hyperledger.org/secure/attachment/15087/fail.log",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzww4f:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DouglasWightman,sergey.minaev,,,,,,,,,,"26/Jun/18 10:10 PM;sergey.minaev;In the attached log I see out-date response from Node. Previous write request is finished, but not applied for every nodes, failed read request is based on reply from the node which hasn't applied latest write request yet.
So in current approach SDK can't avoid error, but we can discuss error code. But in any case application should try to re-request data if received reply seems outdated.;;;","07/Aug/18 11:20 PM;sergey.minaev;After discussion with Douglas we decide to close with bug as invalid. As this is expected behavior of libindy ;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation for Windows NodeJS wrapper,IS-752,30972,,Task,To Develop,IS,Indy SDK,software,resplin,,,Medium,,,zhigunenko.dsr,zhigunenko.dsr,09/Jun/18 6:20 PM,30/Mar/19 6:04 AM,28/Oct/23 2:49 AM,,,,,,,,,0,help-wanted,,,,"* Installatoin guide is not adapted for Windows terminal (file changes are required)
* 3-rd party software configuration is not described (missing npm packages, Visual Studio)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzzegn:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,Specia1,zhigunenko.dsr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improve Write a DID and Query Its Verkey how-to in Python,IS-753,30982,,Task,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,kdenhartog,trthhrtz,trthhrtz,11/Jun/18 3:21 PM,17/Jun/18 4:42 PM,28/Oct/23 2:49 AM,17/Jun/18 4:42 PM,,,,,,,,0,,,,,"To make existing how-to version work and provide common errors guide for newcomers.

PR: https://github.com/hyperledger/indy-sdk/pull/864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzwuyf:",,,,,,CommunityContribution,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,trthhrtz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Code coverage tools to our CI,IS-754,30987,,New Feature,Code Review,IS,Indy SDK,software,resplin,,,Medium,Done,SteveGoob,SteveGoob,SteveGoob,12/Jun/18 4:12 AM,11/Oct/19 9:21 PM,28/Oct/23 2:49 AM,06/Aug/19 11:15 PM,,,,,,,,0,,,,,"For the CII badge, we need to maintain some code coverage metrics.

[kcov|https://github.com/SimonKagstrom/kcov] might be a good tool for this because it is language agnostic, (will work with both rust and python).

For rust specifically, [this|https://stackoverflow.com/questions/32521800/why-does-kcov-calculate-incorrect-code-coverage-statistics-for-rust-programs#38371687] might be something to keep in mind when implementing it",,,,,,,,,,,,,,,,,,INDY-1408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzwrhj:910sx0f",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esplinr,SteveGoob,,,,,,,,,,"06/Aug/19 11:16 PM;esplinr;Static code analysis is run, but the errors are currently ignored.;;;","07/Aug/19 2:46 AM;SteveGoob;Actually [~esplinr], this is about code coverage metrics, not static analysis. I'm going to switch this back to being in Review since my [PR|https://github.com/hyperledger/indy-sdk/pull/1591] for this functionality is still awaiting approval. ;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Check for evidence of adherance to our testing policy,IS-755,30988,,Task,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,SteveGoob,SteveGoob,SteveGoob,12/Jun/18 4:25 AM,11/Apr/19 6:50 AM,28/Oct/23 2:49 AM,11/Apr/19 6:50 AM,,,,,,,,0,,,,,The CII requires us to have evidence that our testing policy has been followed.,,,,,,,,,,,,,,,,,,INDY-1409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDY-48,,,,,,,,,,"1|hzww5j:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SteveGoob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add static analysis to our indy-sdk CI ,IS-756,30993,,Task,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,SteveGoob,SteveGoob,SteveGoob,12/Jun/18 6:06 AM,11/Apr/19 6:48 AM,28/Oct/23 2:49 AM,11/Apr/19 6:48 AM,,,,,,,,0,devops,,,,"For the CII badge, we need to add static analysis to indy-sdk

Thoughts:
* Clippy? Looks like a linter on steroids. Does that count?
* I don't really see anything other than linters... hmm...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDY-48,,,,,,,,,,"1|hzww67:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SteveGoob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investigate potential for dynamic analysis in CI,IS-757,30994,,Task,To Develop,IS,Indy SDK,software,resplin,,,Medium,,SteveGoob,SteveGoob,SteveGoob,12/Jun/18 6:09 AM,10/Oct/19 9:57 PM,28/Oct/23 2:49 AM,,,,,,,,,0,devops,,,,CII standards suggest implementing dynamic analysis on our projects. Look into this to see if this an option and would help us.,,,,,,,,,,,,,,,,,,INDY-1407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS-524,,,,,,,,,,"1|hzww6f:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SteveGoob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python-agent - Message structure.,IS-758,30996,,Improvement,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,dbluhm,burdettadam,burdettadam,12/Jun/18 9:44 AM,29/Jun/18 2:44 AM,28/Oct/23 2:49 AM,29/Jun/18 2:44 AM,,,,,,,,0,quality,,,,"The python agent currently stores a DID as a key identifier for a connection. There has been discussion to store a nonce instead. Type is a ambiguous topic currently, but must be stored.
 Message structure should reflect something similar to this.
 \{
     id :< nonce | DID >,

     type : ,

     message : ,
 }",,,,,,,,,,,,,,,,,,,,,,,,,,,IA-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzz93j:",,,,,,SF INDY AgentCredentials 18.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,burdettadam,,,,,,,,,,,"29/Jun/18 2:44 AM;burdettadam;This issue now lives as IA-6.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python-agent - Web socket repaint on change.,IS-759,30997,,Improvement,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,mdb,burdettadam,burdettadam,12/Jun/18 9:54 AM,29/Jun/18 2:46 AM,28/Oct/23 2:49 AM,29/Jun/18 2:46 AM,,,,,,,,0,,,,,"Currently python-agent does not update a browser's window after a change has occurred, a manual refresh is required. Python-agent interface would improve if the server would update the browser's window over its web socket. ",,,,,,,,,,,,,,,,,,,,,,,,,,,IA-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzz93r:",,,,,,SF INDY AgentCredentials 18.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,burdettadam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python-agent - Create a message timeline display. ,IS-760,30998,,Improvement,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,,burdettadam,burdettadam,12/Jun/18 10:14 AM,29/Jun/18 6:22 AM,28/Oct/23 2:49 AM,29/Jun/18 6:22 AM,,,,,,,,0,,,,,"Python-agent needs a message timeline display. This will be used to display a connection's timeline which may include, connection request date, connection accepted date, and an ordered list of messages in plain text with corresponding timestamps.",,,,,,,,,,,,,,,,,,,,,,,,,,,IA-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzz94f:",,,,,,SF INDY AgentCredentials 18.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,burdettadam,,,,,,,,,,,"29/Jun/18 6:22 AM;burdettadam;This now lives as IA-11.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improve MacOS documentation for new developers,IS-761,30999,,Improvement,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,dbluhm,RyanWest,RyanWest,12/Jun/18 1:50 PM,24/Jul/19 3:30 AM,28/Oct/23 2:49 AM,24/Jul/19 3:30 AM,,,,,,,,0,mac,,,,"We plan to rewrite the support guide for running different major components of indy-sdk on a mac. This includes building libindy, building and running the CLI, and successfully running the getting started Python file.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzwqr7:i",,,,,,CommunityContribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dbluhm,RyanWest,,,,,,,,,,"20/Jun/18 12:12 PM;dbluhm;Nathan tested our document and was able to successfully run the getting started guide. There were failing tests but they did not appear to affect anything in the GSG.

[~nage] also mentioned that this would be a good PR to get in before the release of 1.5.

Since you're a collaborator on my fork, [~RyanWest], would you be willing to submit that PR? (I think you can, at least – I might be mistaken);;;","24/Jul/19 3:30 AM;dbluhm;Old issue; completed some time ago.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indy-cli can't connect to the pool on windows 7,IS-762,31004,,Bug,Complete,IS,Indy SDK,software,resplin,,,High,Done,zhigunenko.dsr,ozheregelya,ozheregelya,12/Jun/18 9:52 PM,03/Aug/18 3:20 PM,28/Oct/23 2:49 AM,03/Aug/18 3:20 PM,,,1.6.2,,,,,0,,,,,"Steps to Reproduce:
1. Download indy-cli for windows [https://repo.sovrin.org/windows/indy-cli/master/1.4.0-565/
]2. Setup the docker pool (from indy-node docker files).
3. Copy genesis file from one of the nodes.
4. Run indy-cli.
5. Create the pool and try to connect it.

Actual Results:
Error ""Indy SDK error occurred Common InvalidState"" appear. Logs:
{code:java}
indy> pool create olya gen_txn_file=K:/develop/dalet/hackathon/pool_transactions_genesis_olya INFO|indy::commands | src\commands\mod.rs:108 | PoolCommand command received INFO|pool_command_executor | src\commands\pool.rs:55 | Create command received TRACE|indy::services::pool | src\services\pool\mod.rs:575 | PoolService::create olya with config Some(""{\""genesis_txn\"":\""K:/develop/dalet/hackathon/pool_transac tions_genesis_olya\""}"") ←[1;32mPool config ""olya"" has been created←[0m indy> 

pool connect olya INFO|indy::commands | src\commands\mod.rs:108 | PoolCommand command received INFO|pool_command_executor | src\commands\pool.rs:63 | Open command received DEBUG|zmq |C:\Users\jenkins.cargo\registry\src\github.com-1ecc6299db9ec823\zmq-0.8.2\src\lib.rs:410 | context dropped ERROR|indy::services::pool | src\services\pool\mod.rs:428 | Pool worker thread finished with error CommonError(InvalidState(""MerkleTree contains invalid data Syn tax(\""missing field data\"")"")) INFO|indy::commands | src\commands\mod.rs:108 | PoolCommand command received INFO|indy::commands::pool | src\commands\pool.rs:67 | OpenAck handle 3, pool_id 4, result Err(CommonError(InvalidState(""MerkleTree contains invalid data Sy ntax(\""missing field data\"")""))) ERROR|indy::errors::indy | src\errors\indy.rs:68 | Casting error to ErrorCode: Invalid library state: MerkleTree contains invalid data Syntax(""missing f ield data"") DEBUG|zmq |C:\Users\jenkins.cargo\registry\src\github.com-1ecc6299db9ec823\zmq-0.8.2\src\lib.rs:503 | socket dropped←[1;31mIndy SDK error occurred Common InvalidState←[0m
{code}
 

Expected Results:
Pool connect should work.","Windows 7
indy-cli 1.4.0~566
indy-node 1.3.450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzww47:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ozheregelya,zhigunenko.dsr,,,,,,,,,,"03/Aug/18 3:20 PM;zhigunenko.dsr;*Environment:*
indy-cli 1.6.1-671 for Win
Windows 7 32x/64x

*Steps to Validate:*
1. Run artifact
2. create pool (genesis file is taken from AWS pool with 25 nodes)
3. connect to pool
4. create and open wallet
5. try send NYM
6. read default Trustee NYM

*Actual results:*
Artifact isn't compatible with 32-bit version
On 64-bit version connection with pool has been established, nym has been read, nym writing has been failed because pool already lost its consensus (""Response hasn't been received"")

FYI [~Artemkaaas];;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python-agent - Timeline for each connection,IS-763,31011,,Improvement,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,,burdettadam,burdettadam,13/Jun/18 1:23 AM,29/Jun/18 5:40 AM,28/Oct/23 2:49 AM,29/Jun/18 5:40 AM,,,,,,,,0,,,,,Each established connection needs a coordinating timeline that will be displayed when a connection is selected.,,,,,,,,,,,,,,,,,,,,,,,,,,,IA-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzz947:",,,,,,SF INDY AgentCredentials 18.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,burdettadam,,,,,,,,,,,"29/Jun/18 5:40 AM;burdettadam;This now lives as IA-10.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python-agent - Connections display,IS-767,31016,,Improvement,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,trthhrtz,burdettadam,burdettadam,13/Jun/18 2:03 AM,29/Jun/18 7:37 AM,28/Oct/23 2:49 AM,29/Jun/18 7:37 AM,,,,,,,,0,,,,,"Python-agent needs a place to list a users connections.  Each connection has a status, requested, request, established.  When a connection state is request, there should be a button that allows a user to accept that connection. Connections should have a button to reject a connection no matter what state it is in. 
When a connection is displayed there should be a visual representation of its state, this could be a shading for requested and request connections with established not shaded. ",,,,,,,,,,,,,,,,,,,,,,,,,,,IA-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzz94n:",,,,,,SF INDY AgentCredentials 18.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,burdettadam,,,,,,,,,,,"29/Jun/18 7:36 AM;burdettadam;This now lives as IA-12, IA-13, IA-14.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python-agent - Open wallet page.,IS-768,31017,,Improvement,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,dbluhm,burdettadam,burdettadam,13/Jun/18 2:35 AM,29/Jun/18 2:47 AM,28/Oct/23 2:49 AM,29/Jun/18 2:47 AM,,,,,,,,0,,,,,When you first hit Python-agent home page you should be greeted with a open wallet page. This open wallet page should require a wallet name and passphrase.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzz93z:",,,,,,SF INDY AgentCredentials 18.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,burdettadam,dbluhm,,,,,,,,,,"14/Jun/18 6:36 AM;dbluhm;I created this page and pushed to dbluhm/indy-agent.

It could probably use some style changes but it works.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improve Rotate-key how-to in Python,IS-769,31024,,Task,Complete,IS,Indy SDK,software,resplin,,,Medium,Done,kdenhartog,trthhrtz,trthhrtz,13/Jun/18 2:01 PM,17/Jun/18 4:42 PM,28/Oct/23 2:49 AM,17/Jun/18 4:42 PM,,,,,,,,0,,,,,"Improve readme, add common errors, improve extra example of rotate_key (which is now in the old folder)

 

PR: https://github.com/hyperledger/indy-sdk/pull/871",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzwuyv:",,,,,,CommunityContribution,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,trthhrtz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
need to prove correctness of how-to code with each checkin,IS-770,31033,,Task,To Develop,IS,Indy SDK,software,resplin,,,Medium,,,danielhardman,danielhardman,14/Jun/18 12:36 AM,30/Mar/19 6:04 AM,28/Oct/23 2:49 AM,,,,,,,,,1,help-wanted,,,,"Today, the content under  [doc/how-tos|https://github.com/hyperledger/indy-sdk/tree/master/doc/how-tos] is stale and inaccurate. We can fix it once, but it will always be in danger of growing stale without us noticing, unless we force it to be updated regularly.

I suggest that we write a test that runs as part of the build, that works like this:
 # Each how-to folder should follow a convention for how its sample code is named. I suggest that the convention be: have a file named ""template.<py|java|js|cs|etc>"" that has comments like ""//code for step 1 goes here""; also have files named ""step1.<ext>"", ""step2.<ext>"", and so forth. You can see something that roughly matches this convention in https://github.com/hyperledger/indy-sdk/tree/master/doc/how-tos/issue-credential/java
 # Have the test find each folder like this, and build a composite file by opening the template file and adding in the snippets from each step. Call the new file ""combined.<ext>"" and save it somewhere.
 # Compare ""combined.<ext>"" with the other file in this folder, which is the hand-combined version of the sample code (in [https://github.com/hyperledger/indy-sdk/tree/master/doc/how-tos/issue-credential/java,] this would be the file named IssueCredential.java). These two files should be identical except for whitespace. If they are not, the test should fail with a message saying that the hand-written file is not the same as the algorithmically built combined.<ext>.
 # Assuming we pass step 3, if the folder of code is for a compiled language, check to see if combined.<ext> compiles. If yes, consider the how-to code valid.
 # For interpreted languages like python, check to see if combined.<ext> runs in a limited way. (Since some of these scripts would require a full pool to be running when the code executes, it's not clear to me whether we can afford to run the script to completion. I think the minimum goal would be to prove the same things that a compiled language would tell us–that all the methods exist and that we have the correct number of parameters to each. Possibly we could do this by simply finding method names and making sure they exist in the .py file we imported, or by doing a help() call on each method name to see if we're calling it correctly.) If combined.<ext> seems reasonable, consider the how-to code valid.
 # The test should pass if it encounters no cases where the how-to sample code is considered invalid.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IS-320,,,,,,,,,,"1|hzzeov:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,danielhardman,trthhrtz,,,,,,,,,,"22/Jul/18 7:16 PM;trthhrtz;[~danielhardman], should some particular programming language and testing framework be used?(or bash?);;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
