Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Issue split),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Authorized Watchers),Custom field (Authorized Watchers),Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Pushing revocation information to channel's organization members,FABC-727,34245,,Story,Backlog,FABC,Fabric CA,software,denyeart,,,Medium,,,latitiah,latitiah,02/Oct/18 1:33 AM,27/Jul/19 11:59 PM,28/Oct/23 2:21 AM,,,,,,,,,,,,,,0,,,,,,"There are times when an organization should not have to request revocation information, but revocation information should be pushed to the members on a certain channel. This ""pushing"" can be done after the revocation is performed for an immediate update to the revocation lists in the other peer nodes/organizations.

In other words, if a certain user needs to be immediately revoked, that revocation is immediately recognized by all nodes on the given channel.",,latitiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Yes,Unset,,,,,No,,Unset,No,,,"1|hzztc7:",,,,Yes,Unset,,,,,,,,,,,,(Please add steps to reproduce),,Yes,,,,,,Unset,,Unset,,(Please add usage information),latitiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cainfo to include database information,FABC-728,34402,,Task,Closed,FABC,Fabric CA,software,denyeart,,,Medium,Won't Do,,skarim,skarim,04/Oct/18 1:13 AM,27/Jul/19 11:59 PM,28/Oct/23 2:21 AM,15/Nov/18 4:34 AM,,,,,,,,,,,,,0,serviceability,,,,,"In talks with support team, they mentioned a serviceability improvement in regards to CA's connection to the database.

In IBM Blockchain Platform, MySQL is used as the back-end database for a CA and there have been issues where MySQL goes into a super read only mode. This is mainly a MySQL issue, but if the CA could provide information about the connection to its back-end database that could be helpful. For example, the ""cainfo"" command could report something like it is connected to <location> as the back-end data store and then provide information on the state of that connection.",,skarim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzu7j:",,,,Unset,Unset,,,,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),skarim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15/Nov/18 4:34 AM;skarim;After further discussion the information being asked for is already logged, the database connection is output to the logs;;;",,,,,,,,,,,,,,,,,,,
Incorrect error message while trying to generate CRL,FABC-729,34415,,Bug,Unverified,FABC,Fabric CA,software,denyeart,,,Lowest,,,maripo5,maripo5,04/Oct/18 7:55 AM,19/Apr/20 12:51 AM,28/Oct/23 2:21 AM,,v1.2.0,,,,,,,,,fabric-ca-server,,,0,,,,,,"STEPS TO REPRODUCE

1. Configure Fabric CA with LDAP:

 - define LDAP user - admin2 __ 
{code:java}
DN: cn=admin2,ou=admin,ou=engineering,ou=Groups,dc=mydomain,dc=example,dc=com
{code}
 - configure fabric-ca-server-config.yaml:
{code:java}
names: ['cn']
converters:
   - name: hf.GenCRL
   value: attr(""cn"") =~ ""admin1""
{code}
 

admin2 enrollment:
{code:java}
fabric-ca-client enroll -u http://admin2:admin2pw@localhost:7054 --enrollment.attrs hf.GenCRL
{code}
CRL generation: 
{code:java}
root@ubuntu:/# fabric-ca-client gencrl
2018/10/03 21:54:09 [INFO] Configuration file location: /etc/hyperledger/fabric-ca-server/fabric-ca-client-config.yaml
Error: Response from server: Error Code: 20 - Authorization failure

{code}
Above error message is confusing, admin2 is authorized but does not have authority to generate CRL (doesn't match converter's rule in server configuration file)

 

Error message should looks like this:

_""The identity 'admin2' does not have authority to generate a CRL""_ instead * ** _""Response from server: Error Code: 20 - Authorization failure""_",,denyeart,GuillaumeCisco,maripo5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzztpr:",,,,Unset,Unset,,,,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),denyeart,GuillaumeCisco,maripo5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04/Oct/18 2:13 PM;denyeart;[~skarim] could you take a look?;;;","29/Jan/19 6:56 PM;GuillaumeCisco;I get the same error, not using LDAP, with an user who has hf.GenCRL set to true.
I'm trying to implement the generateCRL method in the fabric-sdk-py: https://gerrit.hyperledger.org/r/#/c/29000/;;;",,,,,,,,,,,,,,,,,,
Update fabric-ca to baseimage 0.4.13,FABC-730,34492,,Task,Closed,FABC,Fabric CA,software,denyeart,,,Medium,Done,denyeart,denyeart,denyeart,09/Oct/18 12:32 PM,09/Oct/18 2:13 PM,28/Oct/23 2:21 AM,09/Oct/18 2:13 PM,,,,,,,,,,,,,0,,,,,,,,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FABN-960,,FAB-12343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzu3b:",,,,Unset,Unset,,,,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),denyeart,,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
Can not register identity when LDAP is enabled,FABC-731,34501,,Bug,Closed,FABC,Fabric CA,software,denyeart,,,Medium,Won't Do,,volodyad,volodyad,09/Oct/18 9:36 PM,27/Jul/19 11:59 PM,28/Oct/23 2:21 AM,05/Jul/19 9:09 PM,,,,,,,,,,fabric-ca-server,,,0,,,,,,"ldap.client implements UserRegistry GetAffiliation method, at the moment it is not implemented for ldap

_func (lc *Client) GetAffiliation(name string) (spi.Affiliation, error) \{ return nil, errNotSupported }_

Because of this _validateAffiliation(req *api.RegistrationRequest, ctx *serverRequestContextImpl)_ method always fails in case affiliation not empty

composer framework always require affiliation to be not empty, so it means that we cannot use composer with fabric when ldap is enabled",,denyeart,mastersingh24,skarim,volodyad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzu53:",,,,Unset,Unset,,,,,,,,,,,,"Setup ldap on fabric ca
Create test network via composer 
Registry new identity",,Unset,,,,,,Unset,,Unset,,(Please add usage information),denyeart,mastersingh24,skarim,volodyad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/Oct/18 10:59 AM;denyeart;[~skarim] Can you triage?;;;","10/Oct/18 4:03 PM;volodyad;As I understand the error occurs because you can not register new user via fabric when ldap enabled. We have very misleading error messages - at first it show something like _""'admin2' with affiliation of 'org2' is not authorized to get 'testuser' with affiliation of 'hyperledger'_, after you set proper affiliations for admin and user - it just fails with _""code"":0,""message"":""Registration of 'user' failed in affiliation validation: Failedgetting affiliation 'users': Not supported"" ._

Would be better if error message will notify that you ca no register new users when ldap enabled.

 

Regarding compsoer i still can user it, just use compose identity bind instead of composer identity issue;;;","10/Oct/18 11:00 PM;skarim;[~volodyad] Can you please provide step by step reproduction steps? I am not sure I totally understand the flow that results in the error message you are seeing;;;","11/Oct/18 6:35 AM;volodyad;To reproduce need to enable and configure ldap in fabic ca,

then deploy any test network based on composer, like [https://github.com/hyperledger/composer-sample-networks/tree/master/packages/trade-network]

create demo participant
 _composer participant add -c admin@sp -d '\{""$class"": ""org.example.trading.Trader"",""tradeId"": ""TRADER1"",""firstName"": ""Jenny"",""lastName"": ""Jones""}'_
 and the issue identity for participant
 _composer identity issue -c admin@sp -f test.card --participantId_ ""org.example.trading.Trader#TRADER1"" -u trader
 this command send register new identity request to fabric-ca which will cause first error;;;","05/Jul/19 9:09 PM;mastersingh24;Maybe there is an issue with the error messages, but in any case when using LDAP register is not supported.  We are also moving away from Composer as well;;;",,,,,,,,,,,,,,,
LDAP converter doesn't recognize  attributes correctly,FABC-732,34540,,Bug,Closed,FABC,Fabric CA,software,denyeart,,,Medium,Invalid: Works as Expected,ashutosh_kumar,maripo5,maripo5,10/Oct/18 6:40 AM,15/Oct/18 11:49 PM,28/Oct/23 2:21 AM,11/Oct/18 3:01 AM,v1.2.0,,,,,,,,,,,,0,,,,,,"{color:#172b4d}That issue was initially discussed with Kumar Ashutosh on hyperledger chat and i am opening Jira for that to more clarify the issue{color}

LDAP structure:

!image-2018-10-09-23-14-43-020.png!

Let's say that the requirement is to execute chaincode by users in _ou=dev_

To make it possible:
 # i defined custom attribute; _executeChaincode_
 # check in chaincode if _executeChaincode_ evaluate to true
 # implement converters in _fabric-ca-server-config.yaml_ file:

{code:java}
      names: ['ou', 'cn']
      converters:
         - name: executeChaincode
           value: attr(""ou"") =~ "".*dev.*""
{code}
4. Enrolled user and pass _executeChaincode_ as enrollment attribute

The issue in my opinion is in _attr_ function defined in server config file

My assumption here was that _attr(""ou"")_ will return string that will consist of all _ou_ attributes, so for dev1 sth like  *""dev,engineering,Groups""* but it returned empty String.

However _attr(""cn"")_ will return _""dev1""_ string.

So the issue is that in case of attributes which occur more than once in _DN_, _attr_ function doesn't return anything, but for these which occur only once it works fine.",,ashutosh_kumar,denyeart,maripo5,skarim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/Oct/18 6:14 AM;maripo5;image-2018-10-09-23-14-43-020.png;https://jira.hyperledger.org/secure/attachment/16117/image-2018-10-09-23-14-43-020.png",,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzudz:",,,,Unset,Unset,,,,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),ashutosh_kumar,denyeart,maripo5,skarim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/Oct/18 11:01 AM;denyeart;[~skarim] Can you triage?;;;","10/Oct/18 11:05 PM;skarim;[~ashutosh_kumar] Did you confirm this as a bug or more discussion is necessary?;;;","10/Oct/18 11:14 PM;ashutosh_kumar;[~skarim] , I am trying to think possible solution for the scenario described above. But I'll put my thoughts here.;;;","10/Oct/18 11:22 PM;ashutosh_kumar;[~maripo5] , you need to think in terms of how you can construct LDAP filter to get required attribute . So , what is your end goal ? You want users only from certain OU to be able to execute chaincode ? If that the case , the easiest thing to do , is to have your search DN constructed in such a way that an only Objectclass in the DIT corresponding to your OU will be interrogated. Will this work for you ?

Alternatively , you can control it via Group and Role LDAP construct.

 

Let me know which approach will work for you and then I'll move to next steps.;;;","15/Oct/18 4:08 AM;maripo5;[~skarim], [~ashutosh_kumar], could you please explain, why it is working as expected ?

I totally agree that i can make workaruond for that and it will works but the issue is about finding attributes if they occur multiple times in DN. If attribute occurs only once, then attr function return correct value, if multiple times, then nothing is returned. I am afraid that it's not very unlikely case while working with LDAP;;;","15/Oct/18 11:49 PM;ashutosh_kumar;[~maripo5] , LDAP attributes do not occur in DN , it is contained in LDAP object. So , you use your DN for narrow down the LDAP object that you are after. That DN is based DN of your search. If you do not have enough information to narrow down your search , your base DN becomes Root DN of your tree.

LDAP client implementation of Fabric CA merely searches for the object found in Base DN and return you the value for that attribute. In your LDAP search , entries appearing in Base DN is not being returned as search response and hence Fabric CA LDAP client cannot do anything about it.

Let me know , if you have more question(s).

 ;;;",,,,,,,,,,,,,,
Docker images should use Alpine rather than Ubuntu or Debian,FABC-735,34654,,Story,Closed,FABC,Fabric CA,software,denyeart,,,Medium,Done,mastersingh24,mastersingh24,mastersingh24,14/Oct/18 3:59 AM,26/Mar/19 7:40 PM,28/Oct/23 2:21 AM,18/Jan/19 12:54 AM,,,,,,,v2.0.0,,,,,,0,,,,,,Alpine is the recommended base OS for Docker images.  It is generally more secure than other distros (i.e. typically does not have any vulnerabilities) and is much smaller than other distros.,,mastersingh24,silliman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-11096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzzuzr:",,,,Unset,,,,,,,,,,,,,,,Unset,,,,,,,,,,,mastersingh24,silliman,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"14/Jan/19 12:28 AM;mastersingh24;https://gerrit.hyperledger.org/r/28684;;;",,,,,,,,,,,,,,,,,,,
Use proper golint pkg,FABC-736,34660,,Task,Closed,FABC,Fabric CA,software,denyeart,,,Highest,Done,mastersingh24,mastersingh24,mastersingh24,15/Oct/18 5:46 AM,16/Oct/18 4:25 AM,28/Oct/23 2:21 AM,16/Oct/18 4:25 AM,,,,,,,v1.4.0,,,,,,0,,,,,,"Should use 

 {{golang.org/x/lint/golint}}",,mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzv13:",,,,Unset,Unset,,,,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mastersingh24,,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"15/Oct/18 5:51 AM;mastersingh24;https://gerrit.hyperledger.org/r/26985;;;",,,,,,,,,,,,,,,,,,,
Fix goimports errors,FABC-737,34663,,Task,Closed,FABC,Fabric CA,software,denyeart,,,Medium,Done,mastersingh24,mastersingh24,mastersingh24,15/Oct/18 6:32 AM,16/Oct/18 12:02 AM,28/Oct/23 2:21 AM,16/Oct/18 12:02 AM,,,,,,,v1.4.0,,,,,,0,,,,,,"Real issue is using master branch of tools such as goimports, but in any case need to fix:


{noformat}
The following files have import problems:
./lib/serverrequestcontext.go
./lib/dbutil/dbutil.go
./lib/serverregister.go
./lib/servercertificates_test.go
./lib/serverrevoke.go
./lib/serveridentities_test.go
./lib/certdbaccessor.go
./lib/tls/tls.go
./lib/identity.go
./lib/server/idemix/issuer_test.go
./lib/server/idemix/ra_whitebox_test.go
./lib/server/idemix/creddbaccessor.go
./lib/server/idemix/issuercredential_test.go
./lib/server.go
./lib/client.go
./lib/tcert/util_test.go
./lib/tcert/tcert.go
./lib/tcert/util.go
./lib/util.go
./lib/ldap/client.go
./lib/serveraffiliations_test.go
./util/flag.go
./util/csp.go
./util/util.go
./cmd/fabric-ca-client/command/certificate_test.go
./cmd/fabric-ca-client/command/main_test.go
./cmd/fabric-ca-client/command/getcainfo.go
./cmd/fabric-ca-client/command/revoke.go
./cmd/fabric-ca-client/command/enroll.go
./cmd/fabric-ca-client/command/config.go
./cmd/fabric-ca-server/config.go
./test/integration/default/default_test.go
./test/fabric-ca-load-tester/main.go
You may run 'goimports -w <file>' to fix each file.
{noformat}
",,denyeart,mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzv1r:",,,,Unset,Unset,,,,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),denyeart,mastersingh24,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"15/Oct/18 6:40 AM;mastersingh24;https://gerrit.hyperledger.org/r/26986;;;","16/Oct/18 12:01 AM;denyeart;[~mastersingh24] I merged in master branch.  I assume we need to do the same thing in release branches?;;;",,,,,,,,,,,,,,,,,,
Use dep for dependency mgmt,FABC-738,34674,,Task,To Do,FABC,Fabric CA,software,denyeart,,,High,,,mastersingh24,mastersingh24,15/Oct/18 7:04 PM,03/Dec/19 9:19 AM,28/Oct/23 2:21 AM,,,,,,,,,,,,,,0,,,,,,"Fabric has moved away from using govendor for dependency management. CA should follow suit and use [dep|https://github.com/golang/dep] tool.",,mastersingh24,nyet,skarim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzv3z:",,,,Unset,Unset,,,,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mastersingh24,nyet,skarim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29/Mar/19 2:53 PM;nyet;Or move to go modules;;;",,,,,,,,,,,,,,,,,,,
Create Fabric-CA client SDK,FABC-739,34687,,Story,Closed,FABC,Fabric CA,software,denyeart,,,Medium,Duplicate,,baoyangc,baoyangc,15/Oct/18 11:21 PM,22/Sep/19 6:00 PM,28/Oct/23 2:21 AM,22/Sep/19 6:00 PM,,,,,,,,,,,,,0,,,,,,Every time when the fabric-ca release a new tag. The repo `fabric-sdk-go` will update it's dependencies which are import from fabric-ca. I don't think this is a good way. I think we should create fabric-ca client  golang SDK in the repo fabric-ca,,baoyangc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FABC-840,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzv6v:",,,,Unset,Unset,,,,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baoyangc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Move to Go 1.11.1,FABC-740,34702,,Task,Closed,FABC,Fabric CA,software,denyeart,,,Medium,Done,mastersingh24,mastersingh24,mastersingh24,16/Oct/18 7:49 PM,17/Oct/18 6:47 PM,28/Oct/23 2:21 AM,17/Oct/18 6:47 PM,,,,,,,v1.4.0,,,,,,0,,,,,,,,mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzvaf:",,,,Unset,Unset,,,,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mastersingh24,,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"16/Oct/18 9:52 PM;mastersingh24;https://gerrit.hyperledger.org/r/27022;;;",,,,,,,,,,,,,,,,,,,
Update User Document for BCCSP PKCS11 Softhsm configuration,FABC-741,34722,,Task,Closed,FABC,Fabric CA,software,denyeart,,,Medium,Done,ashutosh_kumar,ashutosh_kumar,ashutosh_kumar,17/Oct/18 4:19 AM,03/Nov/18 5:59 AM,28/Oct/23 2:21 AM,03/Nov/18 5:59 AM,,,,,,,,,,,,,0,fabric-ca,,,,,The current BCCSP user doc does not talk about softhsm configuration for PKCS11. Doc needs update and sample config file will be provided in the <fabric-ca>/testdata directory.,,ashutosh_kumar,vsudip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzvef:",,,,Unset,Unset,,,,,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),ashutosh_kumar,vsudip,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"18/Oct/18 3:32 AM;ashutosh_kumar;[https://gerrit.hyperledger.org/r/#/c/27067/] is CR;;;",,,,,,,,,,,,,,,,,,,
