Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Issue split),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Bump versions for 3rd party images,FABB-125,40902,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,High,Done,mastersingh24,mastersingh24,mastersingh24,03/Jul/19 6:22 PM,18/Aug/19 10:31 PM,28/Oct/23 2:20 AM,18/Aug/19 10:31 PM,,0.4.16,,0,,,,,,,,"Kafka -> 1.0.2
CouchDB -> 2.3.1
Zookeeper -> 3.4.14",,mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00t64:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release version 0.4.16,FABB-126,41855,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Done,mastersingh24,mastersingh24,mastersingh24,18/Aug/19 10:33 PM,04/Oct/19 7:25 AM,28/Oct/23 2:20 AM,04/Oct/19 7:25 AM,,0.4.16,,0,,,,,,,,,,mastersingh24,,,,,,,,,,,,,,,FABB-127,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00xc3:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mastersingh24,,,,,,,,,,,,,,,,,,,"28/Sep/19 8:24 PM;mastersingh24;https://gerrit.hyperledger.org/r/c/fabric-baseimage/+/33805;;;",,,,,,,,,,,
Prepare for version 0.4.17,FABB-127,41856,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Done,denyeart,mastersingh24,mastersingh24,18/Aug/19 10:34 PM,15/Oct/19 7:13 PM,28/Oct/23 2:20 AM,15/Oct/19 7:13 PM,,0.4.17,,0,,,,,,,,,,denyeart,mastersingh24,,,,,,,,,,,,,FABB-126,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00xcb:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),denyeart,mastersingh24,,,,,,,,,,,,,,,,,,"07/Oct/19 5:34 AM;denyeart;https://gerrit.hyperledger.org/r/#/c/fabric-baseimage/+/33878/;;;",,,,,,,,,,,
Update to Node 8.16.1,FABB-128,42525,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,High,Done,mastersingh24,mastersingh24,mastersingh24,27/Sep/19 9:54 PM,12/Nov/19 3:49 AM,28/Oct/23 2:20 AM,03/Oct/19 5:31 PM,,0.4.16,,0,,,,,,,,,,mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i0110b:",,Yes,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mastersingh24,,,,,,,,,,,,,,,,,,,"28/Sep/19 8:18 PM;mastersingh24;https://gerrit.hyperledger.org/r/c/fabric-baseimage/+/33804;;;",,,,,,,,,,,
Use latest official adoptopenjdk images,FABB-129,42543,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,High,Done,mastersingh24,mastersingh24,mastersingh24,28/Sep/19 9:05 PM,25/Oct/19 7:10 PM,28/Oct/23 2:20 AM,25/Oct/19 7:10 PM,,0.4.16,,0,,,,,,,,,,mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i01137:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mastersingh24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Baseimage 0.4.17,FABB-130,43046,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Done,btl5037,btl5037,btl5037,31/Oct/19 12:11 AM,13/Jan/20 1:43 PM,28/Oct/23 2:20 AM,13/Jan/20 1:43 PM,,,,0,,,,,,,,,,btl5037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i0136z:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),btl5037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepare for release 0.4.18,FABB-131,43069,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Done,btl5037,btl5037,btl5037,01/Nov/19 10:54 PM,13/Jan/20 1:43 PM,28/Oct/23 2:20 AM,13/Jan/20 1:43 PM,,,,0,,,,,,,,,,btl5037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00n2e:8rp",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),btl5037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable GOCACHE,FABB-132,43071,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Done,btl5037,btl5037,btl5037,02/Nov/19 2:37 AM,13/Jan/20 1:43 PM,28/Oct/23 2:20 AM,13/Jan/20 1:43 PM,,,,0,,,,,,,,,,btl5037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i013az:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),btl5037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Baseimage 0.4.18,FABB-133,43072,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Done,btl5037,btl5037,btl5037,02/Nov/19 2:38 AM,13/Jan/20 1:42 PM,28/Oct/23 2:20 AM,13/Jan/20 1:42 PM,,,,0,,,,,,,,,,btl5037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i013b7:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),btl5037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepare for release 0.4.19,FABB-134,43073,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Done,btl5037,btl5037,btl5037,02/Nov/19 2:38 AM,13/Jan/20 1:43 PM,28/Oct/23 2:20 AM,13/Jan/20 1:42 PM,,,,0,,,,,,,,,,btl5037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i013bf:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),btl5037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade to go 1.12.13,FABB-135,43190,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Done,btl5037,btl5037,btl5037,07/Nov/19 5:29 AM,13/Jan/20 1:43 PM,28/Oct/23 2:20 AM,13/Jan/20 1:42 PM,,,,0,,,,,,,,,,btl5037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i013yz:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),btl5037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Baseimage 0.4.19,FABB-136,43191,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Done,btl5037,btl5037,btl5037,07/Nov/19 5:30 AM,13/Jan/20 1:43 PM,28/Oct/23 2:20 AM,13/Jan/20 1:42 PM,,,,0,,,,,,,,,,btl5037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i013z7:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),btl5037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepare for release 0.4.19,FABB-137,43192,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Done,btl5037,btl5037,btl5037,07/Nov/19 5:32 AM,13/Jan/20 1:43 PM,28/Oct/23 2:20 AM,13/Jan/20 1:42 PM,,,,0,,,,,,,,,,btl5037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i013zf:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),btl5037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create AZP YAML Files,FABB-138,43400,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Done,btl5037,btl5037,btl5037,21/Nov/19 12:54 AM,13/Jan/20 1:43 PM,28/Oct/23 2:20 AM,13/Jan/20 1:43 PM,,,,0,,,,,,,,,,btl5037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i0150b:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),btl5037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Update baseimage with ""nodejs 8.11.2"" and ""sync with official couchdb image"" changes ",FABB-139,32113,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Duplicate,,rameshthoomu,rameshthoomu,22/Jul/18 11:17 PM,27/Nov/19 2:13 AM,28/Oct/23 2:20 AM,23/Jul/18 5:58 AM,,,,0,,,,,,,,"Reverted below commits in fabric-baseimage master branch to push the latest baseimage with s390x:debian/stretch.

Update baseimage with the below changes

[https://github.com/hyperledger/fabric-baseimage/commit/ed3fce101f1a0e5ec52ca66b8beb994091c3cf82]

https://github.com/hyperledger/fabric-baseimage/commit/b4da46c7b6a1e75f897d3260b018c5aaaa248a70",,rameshthoomu,,,,,,,,,,,,,,FABB-1,,,,FABB-1,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzjdz:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),rameshthoomu,,,,,,,,,,,,,,,,,,,"23/Jul/18 5:57 AM;rameshthoomu;https://gerrit.hyperledger.org/r/#/c/24427/;;;",,,,,,,,,,,
couchdb image cannot be built on raspberry pi,FABB-140,33586,,Story,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Highest,Done,SashaPESIC,sang,sang,08/Sep/18 7:38 AM,27/Nov/19 2:16 AM,28/Oct/23 2:20 AM,14/Sep/18 12:16 AM,,,,0,,,,,,,,"When I was building couchdb on raspberry pi, I had the following error reported. It seems for some reason the amd64 C compiler was used. I tried to find the cc command somewhere in the source code, but was not able to find it.

==> b64url (compile)
Compiled src/b64url.erl
Compiling /usr/src/couchdb/src/b64url/c_src/b64url.c
cc: error: unrecognized command line option '-m64'
ERROR: compile failed while processing /usr/src/couchdb/src/b64url: rebar_abort
make: *** [couch] Error 1
Makefile:67: recipe for target 'couch' failed
The command '/bin/sh -c buildDeps=' apt-transport-https gcc g++ erlang-dev libcurl4-openssl-dev libicu-dev libmozjs185-dev make ' && apt-get update -y -qq && apt-get install -y --no-install-recommends $buildDeps && cd /usr/src && mkdir couchdb && curl -fSL https://archive.apache.org/dist/couchdb/source/$COUCHDB_VERSION/apache-couchdb-$COUCHDB_VERSION.tar.gz -o couchdb.tar.gz && curl -fSL https://archive.apache.org/dist/couchdb/source/$COUCHDB_VERSION/apache-couchdb-$COUCHDB_VERSION.tar.gz.asc -o couchdb.tar.gz.asc && gpg --batch --verify couchdb.tar.gz.asc couchdb.tar.gz && tar -xzf couchdb.tar.gz -C couchdb --strip-components=1 && cd couchdb && ./configure --disable-docs && make release && mv /usr/src/couchdb/rel/couchdb /opt/ && apt-get purge -y --auto-remove $buildDeps && rm -rf /var/lib/apt/lists/* /usr/src/couchdb* && mkdir /opt/couchdb/data && chown -R couchdb:couchdb /opt/couchdb' returned a non-zero code: 2
Makefile:131: recipe for target 'build/image/couchdb/.dummy' failed
make: *** [build/image/couchdb/.dummy] Error 2",,sang,SashaPESIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzzpyn:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),sang,SashaPESIC,,,,,,,,,,,,,,,,,,"11/Sep/18 2:18 AM;SashaPESIC;Hello [~sang],

The same thing happened to me before. I am on to figuring it out. This is now marked in progress. ;;;","11/Sep/18 3:58 AM;SashaPESIC;To [~sang].

The current Dockerfile in fabric-baseimage/images/couchdb has some issue with the rebar version supplied. This happens because couchdb ships with an old version of rebar (an erlang dependency manager) that has a [bug |https://github.com/rebar/rebar/issues/536] regarding arm64. Downloading the [latest version of rebar|https://github.com/rebar/rebar/wiki/rebar] and placing it in bin/rebar (relative to the couchdb sources) fixes the problem. The latest working image I have built can be found [here|https://hub.docker.com/r/pesicsasa/fabric-couchdb/tags/]. 

Steps to build the couchdb for aarch64:

1. pull hyperledger baseimage from [here|https://hub.docker.com/r/pesicsasa/fabric-baseimage/] and tag it appropriately. 
2. git clone https://github.com/hyperledger/fabric-baseimage.git
3. Go to fabric-baseimage/images/couchdb and open Dockerfile.in 
4. Now you will have to add some lines to the Dockerfile.in. Find the line 

{code:bash}
&& ./configure --disable-docs \
{code}
and add the following lines after it:

{code:bash}
&& mv bin/rebar bin/rebar-orig \
&& wget https://github.com/rebar/rebar/wiki/rebar -O bin/rebar \
&& chmod +x bin/rebar \
{code}


5. Go back to fabric-baseimage folder and run make couchdb (you may have to retag hyperledger/fabric-baseimage)
6. You are done!




;;;","13/Sep/18 1:57 PM;sang;Thank you! This helps a lot. For some reason, my pi tells me wget not found, although I could use it when I test it manually. But I modified the code a little bit and managed to get couchdb successfully built.

The following is the code that I used (also added after && ./configure --disable-docs \ ):

&& chmod +w bin/rebar \
 && mv bin/rebar bin/rebar-orig \
 && cd bin \
 && curl -fSL [https://github.com/rebar/rebar/wiki/rebar] --output rebar \
 && chmod +x rebar \
 && cd .. \;;;","14/Sep/18 12:09 AM;SashaPESIC;[~sang],

Yes. If you take a look at the Dockerfile you will see that the wget is installed somewhere above - but then also purged. So when you try to use wget here, the container cannot find it - thus, you just have to install it again, and purge if you want after the command completes. ;;;",,,,,,,,
Update baseimage to use CouchDB 2.2.0,FABB-141,34248,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Done,chris.elder,denyeart,denyeart,02/Oct/18 3:31 AM,27/Nov/19 2:16 AM,28/Oct/23 2:20 AM,03/Oct/18 11:18 PM,,,,0,,,,,,,,Update baseimage to use CouchDB 2.2.0,,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzztcn:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
remove baseos from fabric-baseimage repo,FABB-142,43422,,Bug,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Won't Do,,rameshthoomu,rameshthoomu,22/Nov/19 6:34 AM,15/Jan/21 4:25 AM,28/Oct/23 2:20 AM,15/Jan/21 4:25 AM,,,,0,,,,,,,,remove all the occurrences of baseos from fabric-baseimage repository. Baseos docker image configuration is now moved to fabric repository https://github.com/hyperledger/fabric/tree/master/images/baseos,,rameshthoomu,ymlbright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzwqrk:5iwr4r7",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),rameshthoomu,ymlbright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undo FAB-9369 and re-enable the go cache,FABB-143,36041,,Bug,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Won't Do,,sykesm,sykesm,11/Dec/18 2:47 AM,27/Nov/19 2:16 AM,28/Oct/23 2:20 AM,20/Jan/19 11:53 PM,,,,0,,,,,,,,"As of 1.11, the go cache feature is required to use golang.org/x/tools/go/packages. The {{packages}} package is pretty much required by any tools that wish to do AST processing in the world of go modules.

Additionally, as of go 1.12, the GOCACHE=off directive will no longer be honored.

Also, it's unclear why the cache was ever disabled at all instead of pointing to a proper location.

This was discovered while trying to run tools in the buildenv container that rely on the new {{packages}} package.",,mastersingh24,sykesm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i002fz:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mastersingh24,sykesm,,,,,,,,,,,,,,,,,,"20/Jan/19 11:52 PM;mastersingh24;This is no longer an issue as we no longer use fabric-baseimage.  buildenv is now Alpine-based and does not leverage baseimage at all.;;;","20/Jan/19 11:53 PM;mastersingh24;No need to do this anymore per my comment so marking as won't do (for lack of a better option);;;",,,,,,,,,,
"After rebuild orderer, sometimes report ""Orderer capability v1_1 is required but not supported: Orderer capability v1_1 is required but not supported""",FABB-144,40175,,Bug,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Low,Won't Do,hexiaohu,hexiaohu,hexiaohu,28/May/19 6:33 PM,15/Jan/21 4:26 AM,28/Oct/23 2:20 AM,15/Jan/21 4:26 AM,,,,0,Capabilities,OrdererCapabilities,,,,,,"Build orderer based on fabric 1.4, and then run orderer with genesis block, 
genesis block configured with Orderer Capabilitites with ""V1_1:true""

Capabilities:
    Global: &ChannelCapabilities
        V1_1: true
    Orderer: &OrdererCapabilities
        V1_1: true
    Application: &ApplicationCapabilities
        V1_1: true

After start Orderer, there is always report this error:

2019-03-19 01:59:24.657 UTC [orderer.commmon.multichannel] checkResourcesOrPanic -> PANI 007 [channel byfn-sys-channel] config requires unsupported orderer capabilities: Orderer capability v1_1 is required but not supported: Orderer capability v1_1 is required but not supported
panic: [channel byfn-sys-channel] config requires unsupported orderer capabilities: Orderer capability v1_1 is required but not supported: Orderer capability v1_1 is required but not supported

goroutine 1 [running]:
github.com/hyperledger/fabric/vendor/go.uber.org/zap/zapcore.(*CheckedEntry).Write(0xc0004b9970, 0x0, 0x0, 0x0)
    /go/src/github.com/hyperledger/fabric/vendor/go.uber.org/zap/zapcore/entry.go:229 +0x515
github.com/hyperledger/fabric/vendor/go.uber.org/zap.(*SugaredLogger).log(0xc00000e0e8, 0x4, 0x1329a97, 0xf, 0xc000545740, 0x2, 0x2, 0x0, 0x0, 0x0)
    /go/src/github.com/hyperledger/fabric/vendor/go.uber.org/zap/sugar.go:234 +0xf6
github.com/hyperledger/fabric/vendor/go.uber.org/zap.(*SugaredLogger).Panicf(0xc00000e0e8, 0x1329a97, 0xf, 0xc000545740, 0x2, 0x2)
    /go/src/github.com/hyperledger/fabric/vendor/go.uber.org/zap/sugar.go:159 +0x79
github.com/hyperledger/fabric/common/flogging.(*FabricLogger).Panicf(0xc00000e0f0, 0x1329a97, 0xf, 0xc000545740, 0x2, 0x2)
    /go/src/github.com/hyperledger/fabric/common/flogging/zap.go:74 +0x60
github.com/hyperledger/fabric/orderer/common/multichannel.checkResourcesOrPanic(0x1444220, 0xc00034a0c0)
    /go/src/github.com/hyperledger/fabric/orderer/common/multichannel/registrar.go:57 +0x14d
github.com/hyperledger/fabric/orderer/common/multichannel.(*Registrar).newLedgerResources(0xc0001e65a0, 0xc00028b4f0, 0xc00028b4f0)
    /go/src/github.com/hyperledger/fabric/orderer/common/multichannel/registrar.go:263 +0x2f1
github.com/hyperledger/fabric/orderer/common/multichannel.(*Registrar).Initialize(0xc0001e65a0, 0xc0000cad20)
    /go/src/github.com/hyperledger/fabric/orderer/common/multichannel/registrar.go:147 +0x242
github.com/hyperledger/fabric/orderer/common/server.initializeMultichannelRegistrar(0xc000079400, 0xc000097080, 0x0, 0xc0001e6510, 0x1d58900, 0xc000097240, 0x2, 0x2, 0xc000097250, 0x2, ...)
    /go/src/github.com/hyperledger/fabric/orderer/common/server/main.go:414 +0x2ec
github.com/hyperledger/fabric/orderer/common/server.Start(0x1321ea0, 0x5, 0xc000348000)
    /go/src/github.com/hyperledger/fabric/orderer/common/server/main.go:142 +0x52d
github.com/hyperledger/fabric/orderer/common/server.Main()
    /go/src/github.com/hyperledger/fabric/orderer/common/server/main.go:87 +0x1ce
main.main()
    /go/src/github.com/hyperledger/fabric/orderer/main.go:15 +0x20",,hexiaohu,jyellick,,,,,,,,,,,,,,,,,,,,,,,,,,"29/May/19 11:35 AM;hexiaohu;configtx.yaml;https://jira.hyperledger.org/secure/attachment/17272/configtx.yaml","29/May/19 11:35 AM;hexiaohu;genesis.block;https://jira.hyperledger.org/secure/attachment/17273/genesis.block",,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00pf0:",,,,Unset,Unset,,"1: This issue does not happen when debug
2: This issue does not always happen, it like intermittent issue, for example, some times it happened in docker image build on MacOS, while it does not happened in docker image build on Linux, with the same version of source codes
3: If config the Capabilities with lowercase 'v', like 'v1_1', can reproduce the same issue
4: Encounter this issue on Fabric 1.4.0, does not tired other version till now",,Unset,,,,,,Unset,,Unset,,(Please add usage information),hexiaohu,jyellick,,,,,,,,,,,,,,,,,,"29/May/19 11:36 AM;hexiaohu;When the issue happen, attached ""configtx.yaml"" is used to generate genesis.block, which is also attached.;;;","06/Jun/19 5:18 AM;jyellick;If I had to make a guess, I'd think this has something to do with the yaml parsing of configtx.yaml.  Fabric currently uses an outdated version of viper which preserves the case of nested keys when parsing.  Newer versions of viper change this behavior and lower case all keys.  Is it possible that you are somehow picking up a newer version of dependencies depending on the build or platform?;;;",,,,,,,,,,
"NPM version in chaincode container is outdated (5.6.0), and as a result does not run `prepare` script correctly.",FABB-145,41421,,Bug,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,High,Done,mastersingh24,RyanOuyang,RyanOuyang,25/Jul/19 5:43 AM,27/Nov/19 2:16 AM,28/Oct/23 2:20 AM,27/Aug/19 2:32 AM,,,,1,chaincode,Docker,node,npm,,,,"Due to the old NPM version, the `prepare` bug described in this stackoverflow [post|https://stackoverflow.com/questions/52766731/npm-v6-4-1-not-running-prepare-inside-docker] and in this Github [issue|https://github.com/npm/npm/issues/17346] exists within the chaincode container. As a result, `prepare` doesn't run as root and any compile procedures may not work correctly. This is especially problematic when trying to compile/deploy chaincode that depends on a module in another git repo (that needs to be compiled). This bug has been fixed in newer versions of NPM.

Current workaround is to include a prestart script in the `package.json` like so:

 

""prestart"": ""npm config set unsafe-perm true""

 

But this brings about security risks and should be avoided.",,ayang99,mastersingh24,RyanOuyang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00v1f:",,,,Unset,Unset,,"Create a Typescript or Javascript contract that uses the NPM script ""prepare"" (in the package.json) and try to instantiate it. The prepare script will not run.",,Unset,,,,,,Unset,,Unset,,(Please add usage information),ayang99,mastersingh24,RyanOuyang,,,,,release-1.4,,,,,,,,,,,true,"26/Aug/19 11:17 PM;mastersingh24;Does the latest version of *npm* fix this issue?  It's unclear where this is actually fixed.

In any case, you can update npm when we build the ccenv image;;;","26/Aug/19 11:26 PM;mastersingh24;we should actually be updating to the latest npm anyway for other reasons;;;","26/Aug/19 11:26 PM;mastersingh24;we should actually be updating to the latest npm anyway for other reasons;;;","26/Aug/19 11:31 PM;mastersingh24;https://gerrit.hyperledger.org/r/c/fabric/+/33180;;;",,,,,,,,
Update Go to 1.12.17,FABB-146,44404,,Task,Closed,FABB,Fabric Baseimage,software,ChristopherFerris,,,Medium,Done,,btl5037,btl5037,25/Feb/20 6:05 AM,19/Jul/20 1:47 PM,28/Oct/23 2:20 AM,19/Jul/20 1:47 PM,,,,0,,,,,,,,,,btl5037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i019gr:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),btl5037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
