Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels_2,Labels_3,Description,Environment,Watchers,Watchers_2,Watchers_3,Log Work,Log Work_2,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks)_2,Inward issue link (Blocks)_3,Outward issue link (Blocks),Outward issue link (Blocks)_2,Outward issue link (Blocks)_3,Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split)_2,Outward issue link (Issue split)_3,Outward issue link (Issue split)_4,Outward issue link (Issue split)_5,Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment_2,Attachment_3,Attachment_4,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Flagged),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint_2,Sprint_3,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team)_2,Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers)_2,Custom field (Watchers)_3,Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch)_2,Custom field (gitBranch)_3,Custom field (gitBranch)_4,Custom field (gitBranch)_5,Custom field (gitBranch)_6,Custom field (gitBranch)_7,Custom field (gitBranch)_8,Custom field (gitBranch)_9,Custom field (gitBranch)_10,Custom field (gitBranch)_11,Custom field (gitBranch)_12,Custom field (gitBranch)_13,Custom field (gitBranch)_14,Custom field (gitBranch)_15,Custom field (gitBranch)_16,Custom field (gitCommitsReferenced),Comment,Comment_2,Comment_3,Comment_4,Comment_5,Comment_6,Comment_7
Initial validation of transaction sender account name,IR-488,39685,,Task,Closed,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,lebdron,5/7/19 22:24,5/29/19 16:05,1/18/23 07:01,,,,,0,,,,It should not be possible to introduce performance issues to the existing system by sending transactions from unknown accounts.,,lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i00mxr:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add custom commands to client API,IR-489,39687,,Task,To Do,IR,Iroha,software,ekovalev,,,High,,,lebdron,muratovv,5/7/19 22:44,8/26/19 14:49,1/18/23 07:01,,,,,0,,,,Clients want to use custom business logic on chain (smart contracts). This task is start of a long way to implement smart contracts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i00mz0:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create shared transaction pool between MST and OG,IR-490,39688,,Task,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,lebdron,5/7/19 22:58,8/16/19 16:25,1/18/23 07:01,,,,,0,bugfix,mst,,"MstStates from current peer and other peers, and transactions in OrderingGateCache should be stored in a single pool in order to:
1. have a memory limit in both storages
2. mitigate the issue with prepared batch being removed from MstState and not being able to be stored in OG cache.",,lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i00n0m:y,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Describe a state automata for transaction statuses, including corner cases",IR-491,39690,,Task,To Do,IR,Iroha,software,ekovalev,,,Medium,,SaraG,lebdron,lebdron,5/7/19 23:35,9/3/19 02:31,1/18/23 07:00,,,,,0,,,,A textual description should include the possible transitions.,,lebdron,SaraG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-69,,,No,,,Unset,No,,,1|i00n0v:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),lebdron,SaraG,,,,,,,,,,,,,,,,,,,,03/Sep/19 2:31 AM;SaraG;See FSA and https://docs.google.com/spreadsheets/d/1_-pRVp__W_dO9ogaXm4VF62O3VWrOi9dFpPHr-BgWok/edit#gid=0;;;,,,,,,
Separate core concepts from components description,IR-492,39691,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,SaraG,lebdron,lebdron,5/7/19 23:37,6/24/19 18:42,1/18/23 07:01,6/24/19 18:42,,,,0,,,,"While core concepts describe the general terms such as Account, components description should be placed on a separate page which will be related to the system architecture.",,lebdron,SaraG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-69,,,No,,,Unset,No,,,1|i00n13:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),lebdron,SaraG,,,,,,,,,,,,,,,,,,,,21/May/19 1:48 AM;SaraG;https://github.com/hyperledger/iroha/pull/80;;;,,,,,,
[Refactoring] Storage interface: move out dropStorage method to separate class,IR-493,39721,,Task,To Do,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,muratovv,5/9/19 01:56,8/26/19 14:49,1/18/23 07:01,,,,,0,refactoring,storage,,"Currently, Storage contains method `dropStorage`. This method isn't used in Irohad and useful only for test purposes.

The task is to move out `dropStorage` method from Storage. A possible solution is to create TestStorage class which inherits the StorageImpl plus implements `dropStorage`.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-71,,,No,,,Unset,No,,,1|i00n0m:x,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refactor block storage usage in synchronization,IR-494,39902,,Task,To Do,IR,Iroha,software,ekovalev,,,Low,,,lebdron,lebdron,5/18/19 01:12,3/30/20 19:54,1/18/23 07:00,,,,,0,,,,Synchronization process should not occupy twice the size of the downloaded chain on hard drive.,,igor-egorov,lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzwref:001i01i,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),igor-egorov,lebdron,,,,,,,,,,,,,,,,,,,,"03/Jul/19 10:59 PM;igor-egorov;A massive refactoring is going to be performed, thus the task likely will be closed with ""won't fix"" resolution.;;;",,,,,,
get_account_assets: implement pagination in request,IR-495,39921,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,Mikhail_Boldyrev,Mikhail_Boldyrev,Mikhail_Boldyrev,5/20/19 22:48,6/17/19 20:33,1/18/23 07:01,6/17/19 20:33,,,,0,,,,add pagination metadata to request paged account assets without breaking backward compatibility,,Mikhail_Boldyrev,,,,,,,,,,,,,,,,IR-497,IR-498,,,,IR-473,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzwref:001i009,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,,,,,,,,
get_account_assets: implement pagination in response,IR-496,39923,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,Mikhail_Boldyrev,Mikhail_Boldyrev,Mikhail_Boldyrev,5/20/19 22:49,6/17/19 20:34,1/18/23 07:01,6/17/19 20:34,,,,0,,,,add pagination metadata to account assets response,,Mikhail_Boldyrev,,,,,,,,,,,,,,,,IR-497,IR-498,,,,IR-473,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzwref:001i00i,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,,,,,,,,
get_account_assets: implement pagination in database handling,IR-497,39924,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,Mikhail_Boldyrev,Mikhail_Boldyrev,Mikhail_Boldyrev,5/20/19 22:50,6/17/19 20:34,1/18/23 07:01,6/17/19 20:34,,,,0,,,,implement paged requests for get account assets in database logic,,Mikhail_Boldyrev,,,,,,,,,,,,,IR-495,IR-496,,IR-498,,,,,IR-473,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzwref:001i00o,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,,,,,,,,
get_account_assets: implement pagination tests,IR-498,39925,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,Mikhail_Boldyrev,Mikhail_Boldyrev,Mikhail_Boldyrev,5/20/19 22:52,6/17/19 20:34,1/18/23 07:01,6/17/19 20:34,,,,0,,,,"create tests for get account assets pagination

tests descriptions are at https://soramitsu.atlassian.net/wiki/spaces/IS/pages/1120239703/POW+N+090+AccountAsset+Pagination",,Mikhail_Boldyrev,,,,,,,,,,,,,IR-495,IR-496,IR-497,,,,,,IR-473,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzwref:001i01,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Peers query,IR-499,39964,,New Feature,Complete,IR,Iroha,software,ekovalev,,,Low,Done,,Artyom 2,Artyom 2,5/21/19 16:38,8/16/19 16:25,1/18/23 07:01,8/16/19 16:25,,,,0,,,,"Iroha is now missing a feature to query a list of peers in the network. Would be nice to have that for network maintenance tasks such as expansion, metrics collection, mapping IP addresses onto DNS entries.",,Artyom 2,lebdron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i00ofz:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),Artyom 2,lebdron,,,,,,,,,,,,,,,,,,,,16/Aug/19 4:25 PM;lebdron;Done in https://github.com/hyperledger/iroha/pull/131;;;,,,,,,
Fix mst_fuzz crash,IR-500,39975,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,,lebdron,luckychess,5/21/19 22:18,3/27/20 18:09,1/18/23 07:00,5/31/19 23:00,,,,0,,,,"How to reproduce:
 # Build mst_fuzz with -DFUZZING=ON on Linux (both gcc and clang are fine)
 # Run ./mst_fuzz mst_crash (check attachments for mst_crash file)
 # To get a stacktrace use gdb: gdb --args mst_fuzz mst_crash",,lebdron,Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/May/19 10:15 PM;luckychess;mst_crash;https://jira.hyperledger.org/secure/attachment/17243/mst_crash,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i00oi7:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),lebdron,Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix torii_fuzz crash,IR-501,39976,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,,lebdron,luckychess,5/21/19 22:32,3/27/20 18:09,1/18/23 07:00,5/31/19 23:01,,,,0,,,,"How to reproduce:
 # Build torii_fuzz with -DFUZZING=ON on Linux (both gcc and clang are fine)
 # Run ./torii_fuzz torii_crash (check attachments for torii_crash file)
 # To get a stacktrace use gdb: gdb --args torii_fuzz torii_crash

Note: actually torii_crash file is empty (0 bytes)",,lebdron,Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i00oif:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),lebdron,Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix send_batches_fuzz crash,IR-502,39977,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,,lebdron,luckychess,5/21/19 22:34,3/27/20 18:09,1/18/23 07:00,5/31/19 23:01,,,,0,,,,"How to reproduce:
 # Build send_batches_fuzz with -DFUZZING=ON on Linux (both gcc and clang are fine)
 # Run ./send_batches_fuzz send_batches_crash (check attachments for send_batches_crash file)
 # To get a stacktrace use gdb: gdb --args send_batches_fuzz send_batches_crash",,lebdron,Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/May/19 10:34 PM;luckychess;send_batches_crash;https://jira.hyperledger.org/secure/attachment/17244/send_batches_crash,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i00oin:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),lebdron,Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix retrieve_block_fuzz crash,IR-503,39978,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,,lebdron,luckychess,5/21/19 22:36,3/27/20 18:09,1/18/23 07:00,5/31/19 23:01,,,,0,,,,"How to reproduce:
 # Build retrieve_block_fuzz with -DFUZZING=ON on Linux (both gcc and clang are fine)
 # Run ./retrieve_block_fuzz retrieve_block_crash (check attachments for retrieve_block_crash file)
 # To get a stacktrace use gdb: gdb --args retrieve_block_fuzz retrieve_block_crash",,lebdron,Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/May/19 10:36 PM;luckychess;retrieve_block_crash;https://jira.hyperledger.org/secure/attachment/17245/retrieve_block_crash,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i00oiv:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),lebdron,Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix retrieve_blocks_fuzz crash,IR-504,39979,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,,lebdron,luckychess,5/21/19 22:37,3/27/20 18:09,1/18/23 07:00,5/31/19 23:00,,,,0,,,,"How to reproduce:
 # Build retrieve_blocks_fuzz with -DFUZZING=ON on Linux (both gcc and clang are fine)
 # Run ./retrieve_blocks_fuzz retrieve_blocks_crash (check attachments for retrieve_blocks_crash file)
 # To get a stacktrace use gdb: gdb --args retrieve_blocks_fuzz retrieve_blocks_crash",,lebdron,Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/May/19 10:37 PM;luckychess;retrieve_blocks_crash;https://jira.hyperledger.org/secure/attachment/17246/retrieve_blocks_crash,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i00oj3:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),lebdron,Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,,,,,,,
Research tools for consensus formal modelling,IR-505,40058,,Task,To Do,IR,Iroha,software,ekovalev,,,Medium,,,Kamil_Salakhiev,Kamil_Salakhiev,5/22/19 21:55,8/15/19 20:55,1/18/23 07:01,,,,,0,bftresearch,,,,,Kamil_Salakhiev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-37,,,No,,,Unset,No,,,1|hzzzhz:00000i,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),Kamil_Salakhiev,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetAccountDetail pagination - rebase and review,IR-506,40060,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,Mikhail_Boldyrev,Mikhail_Boldyrev,Mikhail_Boldyrev,5/22/19 22:05,6/26/19 15:01,1/18/23 07:01,6/26/19 15:01,,,,0,,,,Client API should support GetAccountDetail pagination without breaking backward compatibility.,,Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,,,IR-541,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i00mx7:,,,,Unset,Unset,Sprint 1,Sprint 2,,(Please add steps to reproduce),21,Unset,,,,,,Unset,,Unset,,(Please add usage information),Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,,,,,,,,
Check fuzzing coverage for OSS,IR-507,40065,,Task,Closed,IR,Iroha,software,ekovalev,,,Medium,,,lebdron,luckychess,5/23/19 00:03,3/27/20 18:09,1/18/23 07:00,,,,,0,,,,"Currently we have no idea about how fuzzing targets cover code of Iroha. That can potentially lead to a significantly reduced efficiency of a fuzzing process.

The task is to check fuzzing targets coverage and possibly improve it if necessary.",,lebdron,Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i00oss:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),lebdron,Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,"23/May/19 7:55 PM;luckychess;Unfortunately, local coverage doesn't work with OSS.;;;",,,,,,
Iroha cookbook and tooling folder,IR-508,40066,,Task,To Do,IR,Iroha,software,ekovalev,,,Low,,,lebdron,muratovv,5/23/19 00:19,9/3/19 01:43,1/18/23 06:47,,,,,0,,,,"Currently, Iroha's documentation doesn't contain straightforward solutions for typical tasks over Iroha such as the creation of key pair, creation of custom genesis block, run Iroha with docker environment and so on. Those recipes could be collected into a cookbook. The cookbook should contain a description in the documentation and scripts in tooling folder.

[AC]
This task is an initial step for this kind of documentation, so the task should only start the process of inflating.
I suggest starting from the following recipes:
* creation of new key pair with Python lib and CLI(if possible)
* creation of custom genesis block with Python lib
* starting test Iroha in dev docker (with run-iroha-dev)
* move in run-iroha-dev tp tolling folder plus the desctiption",,,,,,,,,,,,,,,,,,IR-510,,,,,,,,,,,IR-636,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-69,,,No,,,Unset,No,,,1|hzwref:001i1,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rework run-iroha dev according to ,IR-509,40070,,Task,To Do,IR,Iroha,software,ekovalev,,,Low,,,lebdron,muratovv,5/23/19 02:16,8/26/19 14:49,1/18/23 07:00,,,,,0,,,,"Currently, a developer which uses run-iroha-dev faces with the problem of inconsistent config in exapmle/folder. It leads to creating or changing existing configs for proper usage.

The task is to fix run-iroha-dev script accordingly to configs from example/ folder.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzwref:001i1i,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create iroha config for development purpose,IR-510,40071,,Task,To Do,IR,Iroha,software,ekovalev,,,Low,,,lebdron,muratovv,5/23/19 02:23,8/26/19 14:49,1/18/23 07:01,,,,,0,,,,"Currently, there is a problem to use existing configs from example/ folder for development/debugging irohad because they don't contain convenient preferences. Example of such preferences: logging level is not `debug` for all components, low delays in consensus and so on.

The task is to create a config which will be useful for debugging.

[AC]
* Config with _explicit_ parameters for convenient debugging;
* Documentation which shows this config;
* Config is compatible with developer environment for docker (run-iroha-dev).",,,,,,,,,,,,,,,IR-508,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzwref:001i1r,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research how to reduce size of irohad binary,IR-511,40072,,Task,To Do,IR,Iroha,software,ekovalev,,,Medium,,art.gor,lebdron,muratovv,5/23/19 02:28,8/26/19 14:49,1/18/23 07:01,,,,,0,,,,"Currently, the size of Irohad is pretty large. The task is to research ways to fit Irohad size. It could be changed in Cmake, techniques of coding or reduction of dependencies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzwref:001i1w,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),,,,,,,,,,,,,,,,,,,,,,"22/Aug/19 3:31 PM;art.gor;{{0) caused mainly by rxcpp, it creates entries in rtti sections for every intermediate type and even for every their combination (just try to build rxcpp library tests themselves and you'll see)}}

{{1) -f-no-rtti (gcc and clang, for mscv there is another one) compiler flag can help. But it should be proved before that this doesn't cause type info loss while propagating exceptions - small test}}

1.1) there are calls to std::dynamic_pointer_cast, need to workaround that before trying #1

{{2) as soon as rxcpp is wiped out and what it currently does is changed to more conservative approach, then no special effort will be required to reduce binaries size }};;;",,,,,,
GetAccountDetail pagination in request,IR-512,40090,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,Mikhail_Boldyrev,Mikhail_Boldyrev,Mikhail_Boldyrev,5/23/19 15:31,6/17/19 20:35,1/18/23 07:01,6/17/19 20:35,,,,0,,,,add pagination metadata to GetAccountDetail request without breaking backward compatibility,,Mikhail_Boldyrev,,,;23/May/19 3:36 PM;Mikhail_Boldyrev;60,;24/May/19 11:56 PM;Mikhail_Boldyrev;1500,,0,1560,,,0,1560,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzwref:001i000o,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetAccountDetail pagination in response,IR-513,40091,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,Mikhail_Boldyrev,Mikhail_Boldyrev,Mikhail_Boldyrev,5/23/19 15:32,6/17/19 20:35,1/18/23 07:01,6/17/19 20:35,,,,0,,,,add pagination metadata to GetAccountDetail response without breaking backward compatibility,,Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzwref:001i001,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetAccountDetail pagination in database handling,IR-514,40092,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,Mikhail_Boldyrev,Mikhail_Boldyrev,Mikhail_Boldyrev,5/23/19 15:32,6/17/19 20:35,1/18/23 07:01,6/17/19 20:35,,,,0,,,,add pagination of GetAccountDetail query to database logic,,Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzwref:001i001c,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetAccountDetail pagination tests,IR-515,40093,,Task,Complete,IR,Iroha,software,ekovalev,,,Medium,Done,Mikhail_Boldyrev,Mikhail_Boldyrev,Mikhail_Boldyrev,5/23/19 15:33,6/17/19 20:35,1/18/23 07:01,6/17/19 20:35,,,,0,,,,"create tests for get account assets pagination

tests descriptions can be found at https://soramitsu.atlassian.net/wiki/spaces/IS/pages/1127317518/POW+N+091+GetAccountDetail+pagination#POWN091|GetAccountDetailpagination-Automatedtests",,Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|hzwref:001i001o,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,,,,,,,,
Make pagination metadata required,IR-516,40122,,Task,To Do,IR,Iroha,software,ekovalev,,,Medium,,,Mikhail_Boldyrev,Mikhail_Boldyrev,5/24/19 19:54,6/20/19 03:08,1/18/23 07:01,,,,,0,,,,"For several queries, we added optional metadata to keep backward compatibility. When we can break it at next major release, we should make the metadata required for these queries:
 * GetAccountAssets
 * GetAccountDetails
 * GetPendingTransactions (additionally remove the old way to get pending transactions from the storage interface and the implementation)",,igor-egorov,Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,IR-554,,,No,,,Unset,No,,,1|i00p3o:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),igor-egorov,Mikhail_Boldyrev,,,,,,,,,,,,,,,,,,,,"13/Jun/19 10:22 PM;igor-egorov;[https://github.com/hyperledger/iroha/pull/116]

 ;;;",,,,,,
Refactor SQL in tests,IR-517,40123,,Task,To Do,IR,Iroha,software,ekovalev,,,Medium,,,igor-egorov,igor-egorov,5/24/19 19:57,5/24/19 19:57,1/18/23 07:01,,,,,0,,,,"Tests should not have own SQL scripts for state initialization.

Ametsuchi fixture should use the same SQL for as the irohad application.",,igor-egorov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,Unset,No,,,1|i00p3w:,,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),igor-egorov,,,,,,,,,,,,,,,,,,,,,,,,,,,
