Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Needs to add org join artifacts,CE-612,39926,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,High,Done,tongliofcary,tongliofcary,tongliofcary,21/May/19 12:02 AM,24/May/19 10:43 PM,28/Oct/23 2:20 AM,24/May/19 10:42 PM,,,v1.0.0,,Cello-Agent,,,,,0,,,,,,Interop working group has defined a way of adding new orgs to an existing network. Cello will need to add function to produce these artifacts so that join existing network will be much easier.,,baohua,tongliofcary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00oav:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,tongliofcary,,,,,,,,"24/May/19 10:43 PM;baohua;[https://gerrit.hyperledger.org/r/c/cello/+/31455];;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Add dashboard image dockerfile, and deployment for dashboard",CE-613,40004,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,21/May/19 11:45 PM,22/May/19 11:53 AM,28/Oct/23 2:20 AM,22/May/19 11:53 AM,,,v1.0.0,,Cello-Dashboard,,,,,0,,,,,,"Add dashboard image dockerfile, and deployment for dashboard",,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00olg:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,"22/May/19 11:53 AM;hightall;https://gerrit.hyperledger.org/r/c/cello/+/31464;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add user management in dashboard,CE-614,40106,,New Feature,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,24/May/19 12:20 AM,28/May/19 10:45 PM,28/Oct/23 2:20 AM,28/May/19 10:45 PM,,,v1.0.0,,Cello-Dashboard,,,,,0,,,,,,Add user management in dashboard,,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00p0c:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,"25/May/19 5:09 PM;hightall;https://gerrit.hyperledger.org/r/c/cello/+/31553;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove Fabric Base Image from Cello,CE-615,40152,,Task,To Do,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,,,btl5037,btl5037,25/May/19 5:23 AM,31/May/19 10:00 AM,28/Oct/23 2:20 AM,,,,,,Cello-Core,,,,,0,,,,,,"At the end of Q3 2018 Fabric removed it dependency on the fabric-baseimage as the project had gotten out of scope and become a behemoth container used to support many things it was never intended to do.

The Fabric team will no longer be maintaining the Fabric Base Image repo and as such we are asking repos who use it to convert to using their own Ubuntu builds. At this point we are no longer updating the repo from within the Fabric team. Cello needs to gather its requirements and replace the image with its own internalized image.",,btl5037,tongliofcary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00pa4:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),btl5037,tongliofcary,,,,,,,,"31/May/19 4:45 AM;btl5037;[~tongliofcary] can you look at this, the only reference in code is in the ansible agent:

src/operator-dashboard/agent/ansible/roles/deploy_k8s/certsetup/templates/core.j2

We need to figure out what the minimum dependencies for this playbook are and add a step to build a docker image that can be used to complete it;;;","31/May/19 10:00 AM;tongliofcary;I will take a look at that and see if we can remove it. Thanks [~btl5037];;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove deprecated source code under src directory,CE-616,40155,,Task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,25/May/19 5:21 PM,01/Jul/19 12:02 PM,28/Oct/23 2:20 AM,01/Jul/19 12:02 PM,,,v1.0.0,,Cello-Core,,,,,0,,,,,,Remove deprecated source code under src directory,,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00pas:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,"29/Jun/19 3:04 PM;hightall;https://gerrit.hyperledger.org/r/c/cello/+/32130;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add docker sock mapping in api engine container,CE-617,40156,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,25/May/19 7:47 PM,12/Jun/19 10:47 PM,28/Oct/23 2:20 AM,12/Jun/19 10:47 PM,,,v1.0.0,,Cello-Core,,,,,0,,,,,,"Add docker sock mapping in api engine container, support for future agent containerize.",,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00pb0:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,"25/May/19 7:50 PM;hightall;https://gerrit.hyperledger.org/r/c/cello/+/31857;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implemtation of `Peer node` API,CE-618,40354,38234,Sub-task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,Man-Jain,LordGoodman,LordGoodman,04/Jun/19 12:05 PM,22/Jul/19 6:31 PM,28/Oct/23 2:20 AM,22/Jul/19 6:31 PM,,,,,,,,,,0,,,,,,"Follow the [node API|https://github.com/hyperledger/cello/tree/master/src/api-engine/api/routes/node] to develop code for managing peer node.

 ",,LordGoodman,Man-Jain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00qb0:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),LordGoodman,Man-Jain,,,,,,,,"08/Jun/19 5:31 AM;Man-Jain;https://gerrit.hyperledger.org/r/c/cello/+/31773;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allows each node to provide metrics,CE-619,40540,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,tongliofcary,tongliofcary,tongliofcary,13/Jun/19 12:06 AM,19/Jul/19 9:43 PM,28/Oct/23 2:20 AM,19/Jul/19 9:40 PM,,,v1.0.0,,Cello-Agent,,,,,0,,,,,,"Currently when ansible agent sets up fabric, it does not enable the metrics being collected. We should add the capabilities so that machines running fabric can provide running metrics so that we can measure the network performance.",,tongliofcary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00r98:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),tongliofcary,,,,,,,,,"19/Jul/19 9:43 PM;tongliofcary;https://gerrit.hyperledger.org/r/c/cello/+/31849;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add AgentList in Agent management,CE-620,40565,,New Feature,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,fengyang_sy,fengyang_sy,fengyang_sy,14/Jun/19 12:30 AM,10/Jul/19 2:33 PM,28/Oct/23 2:20 AM,02/Jul/19 10:15 PM,,,,,,,,,,0,,,,,,Add AgentList in Agent management,,baohua,fengyang_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00rdo:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,fengyang_sy,,,,,,,,"02/Jul/19 11:11 PM;baohua;[https://gerrit.hyperledger.org/r/#/c/cello/+/32156/];;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add agent dockerize support,CE-621,40583,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,14/Jun/19 12:15 PM,14/Jun/19 6:14 PM,28/Oct/23 2:20 AM,14/Jun/19 6:14 PM,,,v1.0.0,,,,,,,0,,,,,,Support launch agent through docker launcher,,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00rgs:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,"14/Jun/19 12:57 PM;hightall;https://gerrit.hyperledger.org/r/c/cello/+/31915;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Update agent api, move conterize related info into special field",CE-622,40596,,Task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,16/Jun/19 5:46 PM,16/Jun/19 8:44 PM,28/Oct/23 2:20 AM,16/Jun/19 8:44 PM,,,v1.0.0,,Cello-Core,,,,,0,,,,,,Move all need files into config_file for agent,,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00rj8:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,"16/Jun/19 5:47 PM;hightall;https://gerrit.hyperledger.org/r/c/cello/+/31931;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Operation environment for agent launcher,CE-623,40621,,Task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,17/Jun/19 9:57 PM,17/Jun/19 11:23 PM,28/Oct/23 2:20 AM,17/Jun/19 11:23 PM,,,v1.0.0,,Cello-Agent,Cello-Core,,,,0,,,,,,Add Operation environment for agent launcher,,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00rno:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,"17/Jun/19 9:59 PM;hightall;https://gerrit.hyperledger.org/r/c/cello/+/31940;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add node update api for agent launcher callback,CE-624,40623,,Task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,17/Jun/19 11:25 PM,21/Jun/19 10:46 AM,28/Oct/23 2:20 AM,21/Jun/19 10:46 AM,,,v1.0.0,,Cello-Core,,,,,0,,,,,,"For agent launcher update node info, add update api for node router.",,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00rnw:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,"18/Jun/19 1:11 AM;hightall;https://gerrit.hyperledger.org/r/c/cello/+/31943;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cello 1.4 code is using ""nodeenv"" docker image for ""node chaincode"" instantiation",CE-625,40741,,Task,To Do,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,,hightall,rameshthoomu,rameshthoomu,21/Jun/19 11:26 PM,23/Jan/20 3:59 AM,28/Oct/23 2:20 AM,,,,,,Cello-Core,,,,,0,,,,,,"1) Launched network with cello
2) Instantiated nodejs chaincode
3) Observed instantiation request is failed.

Instantiation request is trying to launch node chaincode container with noedeenv image but the nodeenv is not available in fabric 1.4. code base. This has to use ccenv image in 1.4.",,rameshthoomu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00sas:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),rameshthoomu,,,,,,,,,"23/Jan/20 3:59 AM;rameshthoomu;Any update on this?;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add mock data for user list api,CE-626,40832,,Task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,29/Jun/19 1:11 AM,29/Jun/19 1:31 PM,28/Oct/23 2:20 AM,29/Jun/19 1:31 PM,,,v1.0.0,,Cello-Dashboard,,,,,0,,,,,,Add mock data for user list api,,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00ss4:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,"29/Jun/19 1:14 AM;hightall;https://gerrit.hyperledger.org/r/c/cello/+/32127;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Move ansible agent code out from operator dashboard,CE-627,40834,,Task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,tongliofcary,hightall,hightall,29/Jun/19 2:59 PM,01/Jul/19 11:29 AM,28/Oct/23 2:20 AM,01/Jul/19 11:29 AM,,,v1.0.0,,Cello-Agent,,,,,0,,,,,,Move ansible agent code out from operator dashboard,,baohua,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00ssc:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),baohua,hightall,,,,,,,,"01/Jul/19 11:29 AM;baohua;[https://gerrit.hyperledger.org/r/#/c/cello/+/32137/];;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove operator dashboard source code,CE-628,40841,,Task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,01/Jul/19 12:03 PM,01/Jul/19 10:30 PM,28/Oct/23 2:20 AM,01/Jul/19 10:30 PM,,,v1.0.0,,Cello-Dashboard,,,,,0,,,,,,Remove operator dashboard source code,,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00stw:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,"01/Jul/19 12:06 PM;hightall;https://gerrit.hyperledger.org/r/c/cello/+/32139;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Move Kubernetes agent code into src/agent folder,CE-629,40842,,Task,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,01/Jul/19 12:11 PM,01/Jul/19 10:52 PM,28/Oct/23 2:20 AM,01/Jul/19 10:52 PM,,,v1.0.0,,Cello-Agent,,,,,0,,,,,,Move Kubernetes agent code into src/agent folder,,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00su4:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,"01/Jul/19 12:14 PM;hightall;https://gerrit.hyperledger.org/r/c/cello/+/32140;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Move common functions into one js file for mock js in dashboard,CE-630,40849,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,01/Jul/19 10:50 PM,03/Jul/19 5:18 PM,28/Oct/23 2:20 AM,03/Jul/19 5:18 PM,,,v1.0.0,,Cello-Dashboard,,,,,0,,,,,,Move common functions into one js file for mock js in dashboard,,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00svo:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,"01/Jul/19 10:53 PM;hightall;https://gerrit.hyperledger.org/r/c/cello/+/32144;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support delete node operation for Kubernetes agent,CE-631,40958,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,10/Jul/19 12:53 AM,10/Jul/19 10:20 AM,28/Oct/23 2:20 AM,10/Jul/19 10:20 AM,,,v1.0.0,,Cello-Agent,,,,,0,,,,,,Support delete node operation for Kubernetes agent,,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00tj0:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,"10/Jul/19 10:20 AM;hightall;https://gerrit.hyperledger.org/r/c/cello/+/32222;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support parameter customize for ca node deployment,CE-632,40969,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,10/Jul/19 2:21 PM,10/Jul/19 3:09 PM,28/Oct/23 2:20 AM,10/Jul/19 3:09 PM,,,v1.0.0,,Cello-Agent,,,,,0,,,,,,"Support parameter customize for ca node deployment, such as can set admin_name, admin_password, and hosts for ca server.",,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00tks:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,"10/Jul/19 2:25 PM;hightall;https://gerrit.hyperledger.org/r/c/cello/+/32234;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can upload fabric ca server crypto files after it launched,CE-633,40974,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,10/Jul/19 10:33 PM,11/Jul/19 11:58 AM,28/Oct/23 2:20 AM,11/Jul/19 11:58 AM,,,v1.0.0,,Cello-Agent,Cello-Core,,,,0,,,,,,"In kubernetes agent, after ca server launched, will upload the crypto files to api engine",,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00tlg:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,"10/Jul/19 11:10 PM;hightall;https://gerrit.hyperledger.org/r/c/cello/+/32239;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add node retrieve api,CE-634,41001,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,11/Jul/19 4:21 PM,11/Jul/19 4:58 PM,28/Oct/23 2:20 AM,11/Jul/19 4:58 PM,,,v1.0.0,,Cello-Core,,,,,0,,,,,,"Add node retrieve api, and add fabric ca server type tls/signature, limit every organization only can create one type of tls ca server.",,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00tpo:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,"11/Jul/19 4:24 PM;hightall;https://gerrit.hyperledger.org/r/c/cello/+/32263;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add ca user register api,CE-635,41002,,Improvement,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,hightall,hightall,hightall,11/Jul/19 5:00 PM,19/Jul/19 4:03 PM,28/Oct/23 2:20 AM,19/Jul/19 4:03 PM,,,v1.0.0,,Cello-Agent,Cello-Core,,,,0,,,,,,"Add ca user register api, can register fabric user through api engine",,hightall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00tpw:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hightall,,,,,,,,,"12/Jul/19 12:12 PM;hightall;https://gerrit.hyperledger.org/r/c/cello/+/32283;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Partial update api for agent,CE-636,41101,,New Feature,Complete,CE,Cello,software,baohua,http://github.com/hyperledger/cello,http://github.com/hyperledger/cello,Medium,Done,Man-Jain,Man-Jain,Man-Jain,12/Jul/19 4:13 AM,19/Jul/19 3:54 PM,28/Oct/23 2:20 AM,19/Jul/19 3:54 PM,,,,,,,,,,0,,,,,,,,Man-Jain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00ttg:",,,,Unset,Unset,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),Man-Jain,,,,,,,,,"12/Jul/19 4:49 AM;Man-Jain;https://gerrit.hyperledger.org/r/c/cello/+/32280;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
