Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
update baseimage version,FABCE-63,30614,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,ChristopherFerris,ChristopherFerris,ChristopherFerris,25/May/18 5:40 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,27/May/18 12:36 AM,,0,,,update baseimage version to align with fabric 1.2,,ChristopherFerris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,Unset,,,Unknown,,,,Unset,,,,"1|hzzcev:",,,,Unset,Unset,,,,,,,,,,,,,,ChristopherFerris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release fabric-chaincode-evm v0.3.0,FABCE-64,41588,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,swetharepakula,swetharepakula,swetharepakula,02/Aug/19 9:32 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,06/Aug/19 1:53 AM,,0,,,"Update changelog, and new release notes",,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00vyb:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,"02/Aug/19 9:44 AM;swetharepakula;[https://gerrit.hyperledger.org/r/#/c/fabric-chaincode-evm/+/32655/];;;",,,,,,,,,,,,,,,,,,,,,
add CODE_OF_CONDUCT.md ,FABCE-65,29170,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,ChristopherFerris,ChristopherFerris,ChristopherFerris,05/Apr/18 7:41 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,08/Apr/18 4:52 AM,,0,,,add CODE_OF_CONDUCT.md,,ChristopherFerris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,Unset,,,Unknown,,,,Unset,,,,"1|hzz4nz:",,,,Unset,Unset,,,,,,,,,,,,,,ChristopherFerris,,,,,,,,,,,,,,,,"05/Apr/18 8:27 AM;ChristopherFerris;https://gerrit.hyperledger.org/r/20177;;;",,,,,,,,,,,,,,,,,,,,,
getTransactionInformation fails when looking at non evm transactions,FABCE-66,38292,,Epic,Backlog,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,,,swetharepakula,swetharepakula,08/Mar/19 10:43 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,,,0,,,"The private method getTransactionInformation is used in GetTransactionReceipt, GetTransaction, and GetBlockByNumber.

The method however assumes that the payload that is a chaincode transaction ([https://github.com/hyperledger/fabric/blob/release-1.4/protos/common/common.pb.go#L73),] but other types of transactions can be possible causing the methods to fail.

The above methods should not fail when parsing through a block that has transactions that are not of the chaincode transaction type and should not fail if the chaincode transaction is for a chaincode that is not the evmcc.

As part of this, improve the testing on these instructions. One good test case is the genesis block.",,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00f47:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invalid transactions should not be shown in a block,FABCE-67,38409,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,MHBauer,swetharepakula,swetharepakula,13/Mar/19 11:56 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,20/Sep/19 4:58 AM,,0,,,"In GetBlockByNumber in Fab3, all transactions, even ones that are not valid, are returned back to the users. We should not include those transactions when returning or we should have a way to mark them as invalid.",,MHBauer,PallabPaul,shitaibin,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00fsf:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),MHBauer,PallabPaul,shitaibin,swetharepakula,,,,,,,,,,,,,"14/Aug/19 3:47 PM;shitaibin;The block must store and show all transactions, even the invalid transactions. User should query the transaction detail information to know whether a transaction is valid or not.

 

// Transaction is used to hold the information from its proto format to a structure
// that is more suitable/friendly for validation
type Transaction struct {
 IndexInBlock int
 ID string
 RWSet *rwsetutil.TxRwSet
 ValidationCode peer.TxValidationCode
 ContainsPostOrderWrites bool
}

 

ValidationCode is 0 when the transaction is valid, else it's invalid, and the reason can see here:

 

TxValidationCode_VALID TxValidationCode = 0
TxValidationCode_NIL_ENVELOPE TxValidationCode = 1
TxValidationCode_BAD_PAYLOAD TxValidationCode = 2
TxValidationCode_BAD_COMMON_HEADER TxValidationCode = 3
TxValidationCode_BAD_CREATOR_SIGNATURE TxValidationCode = 4
TxValidationCode_INVALID_ENDORSER_TRANSACTION TxValidationCode = 5
TxValidationCode_INVALID_CONFIG_TRANSACTION TxValidationCode = 6
TxValidationCode_UNSUPPORTED_TX_PAYLOAD TxValidationCode = 7
TxValidationCode_BAD_PROPOSAL_TXID TxValidationCode = 8
TxValidationCode_DUPLICATE_TXID TxValidationCode = 9
TxValidationCode_ENDORSEMENT_POLICY_FAILURE TxValidationCode = 10
TxValidationCode_MVCC_READ_CONFLICT TxValidationCode = 11
TxValidationCode_PHANTOM_READ_CONFLICT TxValidationCode = 12
TxValidationCode_UNKNOWN_TX_TYPE TxValidationCode = 13
TxValidationCode_TARGET_CHAIN_NOT_FOUND TxValidationCode = 14
TxValidationCode_MARSHAL_TX_ERROR TxValidationCode = 15
TxValidationCode_NIL_TXACTION TxValidationCode = 16
TxValidationCode_EXPIRED_CHAINCODE TxValidationCode = 17
TxValidationCode_CHAINCODE_VERSION_CONFLICT TxValidationCode = 18
TxValidationCode_BAD_HEADER_EXTENSION TxValidationCode = 19
TxValidationCode_BAD_CHANNEL_HEADER TxValidationCode = 20
TxValidationCode_BAD_RESPONSE_PAYLOAD TxValidationCode = 21
TxValidationCode_BAD_RWSET TxValidationCode = 22
TxValidationCode_ILLEGAL_WRITESET TxValidationCode = 23
TxValidationCode_INVALID_WRITESET TxValidationCode = 24
TxValidationCode_INVALID_CHAINCODE TxValidationCode = 25
TxValidationCode_NOT_VALIDATED TxValidationCode = 254
TxValidationCode_INVALID_OTHER_REASON TxValidationCode = 255

 ;;;","15/Aug/19 6:42 AM;swetharepakula;This jira is specifically for the blocks that are returned when querying using the fab3 client/proxy. It will not change how blocks and transactions are stored or seen on Fabric.;;;","04/Sep/19 4:43 AM;MHBauer;I'd never seen that list of validation codes before. I doubt we'd see most of them on queries, but now I have something else to look up. 

Upon looking it up, it seems like a bad design to be so decoupled.;;;","20/Sep/19 4:58 AM;swetharepakula;[https://gerrit.hyperledger.org/r/#/c/fabric-chaincode-evm/+/33360/];;;",,,,,,,,,,,,,,,,,,
Transaction Receipt should prefix contract addresses with '0x',FABCE-68,37403,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Duplicate,,swetharepakula,swetharepakula,02/Feb/19 9:01 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,28/Mar/19 8:05 AM,,0,,,In situations when the transaction receipt returned by fab3 contains the contract address it should prefix the value with a '0x',,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FABCE-77,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00ae7:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,"28/Mar/19 8:05 AM;swetharepakula;Task is a duplicate of FAB-14190. Bug has already been addressed;;;",,,,,,,,,,,,,,,,,,,,,
EVM smart contracts don't have permission to call other EVM contracts,FABCE-69,35427,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,swetharepakula,swetharepakula,swetharepakula,17/Nov/18 5:31 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,05/Dec/18 11:13 AM,,0,,,"When a smart contract calls a function from another smart contract, the EVM errors out with the error: ""Contract does not have permission to call"".

 

Error seems to be coming from smart contract permissions not being set properly at deployment:
We need to add to the evmcc the proper permissions when creating a new smart contract:[https://github.com/hyperledger/burrow/blob/837dd44ee30153187182e1afd5fb36eaf4505196/execution/execution_test.go#L133] Code should be added in this area: [https://github.com/hyperledger/fabric-chaincode-evm/blob/master/evmcc/evmcc.go#L114] 

As part of this what permissions do we want to enable.",,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|hzzz9z:",,,,Unset,Unset,"After installing the EVM, deploy the following contracts:
```
pragma solidity ^0.4.18;
contract Deployed {
    
    uint valA; 
    
    function setA(uint _val) public returns (uint) {
        valA = _val;
        return valA;
    }
    
    function a() public view returns (uint) {
        return valA;
    }
    
}
contract Existing  {
    
    Deployed dc;
    
    function Existing(address _t) public {
        dc = Deployed(_t);
    }
 
    function getA() public view returns (uint result) {
        return dc.a();
    }
    
    function setA(uint _val) public returns (uint result) {
        dc.setA(_val);
        return _val;
    }
}
```

From the Existing Contract, both functions will fail with the `""Contract does not have permission to call""` error.",,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,"17/Nov/18 9:58 AM;swetharepakula;https://gerrit.hyperledger.org/r/#/c/27624/;;;",,,,,,,,,,,,,,,,,,,,,
Chaincode-evm's make fails if GOPATH contains more than one element,FABCE-70,37420,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,lehors,lehors,lehors,05/Feb/19 12:45 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,20/Feb/19 7:59 PM,,0,,,"$ export GOPATH=""/foo:/bar""
$ make
gotools.mk:24: *** target pattern contains no `%'. Stop.

 ",,lehors,MHBauer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00agv:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),lehors,MHBauer,,,,,,,,,,,,,,,"05/Feb/19 4:07 AM;MHBauer;this is some random script we took from upstream fabric. We should check if they have the same bug, and if not, pull their fix.

 ;;;","05/Feb/19 4:16 AM;lehors;That's also what I thought but a quick look didn't reveal the same although treating GOPATH as a singleton is unfortunately a common disease...

The reality is that there is no perfect solution. We'll need to decide to use the first or last element and go with that, even though this may not always be the best choice.

 ;;;",,,,,,,,,,,,,,,,,,,,
integration tests are polluted by existing evnironment,FABCE-71,37432,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,MHBauer,MHBauer,MHBauer,05/Feb/19 8:26 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,05/Feb/19 8:55 AM,,0,,,"introduced by
 # FAB-13385

h1.  ",,MHBauer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FABCE-59,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,95b572bcd464ee878b4496cd3f9d184b5cf87e9d,Unset,No,,,"1|i00ajb:",,,,Unset,Unset,"export FAB3_CONFIG 
run integration tests",,Unset,,,,,,Unset,,Unset,,(Please add usage information),MHBauer,,,,,,,,,,,,,,,,"05/Feb/19 8:29 AM;MHBauer;https://gerrit.hyperledger.org/r/29133;;;",,,,,,,,,,,,,,,,,,,,,
Fab3 does not wait for Http Server to be created,FABCE-72,37695,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,swetharepakula,swetharepakula,swetharepakula,15/Feb/19 11:59 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,14/Mar/19 12:35 PM,,0,,,"Fab3 binary does not wait for the underlying http server to be created before waiting on termination or error signal. This is due to how the start function is and the goroutine in main that run's the http server. 

Lets separate the creation of the server from running the server.

Also Shutdown() should check to make sure the httpServer is not nil before trying to close it.",,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00bwf:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,"15/Feb/19 12:46 PM;swetharepakula;Fixing this should prevent errors such as this: https://jenkins.hyperledger.org/job/fabric-chaincode-evm-merge-x86_64/19/execution/node/55/log/;;;","15/Feb/19 1:27 PM;swetharepakula;https://gerrit.hyperledger.org/r/#/c/29320/;;;",,,,,,,,,,,,,,,,,,,,
Listing Ethereum accounts does not work,FABCE-73,35067,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Invalid: Works as Expected,,zamrokk,zamrokk,03/Nov/18 1:58 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,24/Jan/19 8:49 AM,,0,,,"I have successfully run all commands until I got an error at the step below :

{{> web3.eth.accounts}}
{{Error: Invalid JSON RPC response: undefined}}
{{ at Object.InvalidResponse (/opt/gopath/src/github.com/hyperledger/fabric-chaincode-evm/node_modules/web3/lib/web3/errors.js:38:16)}}
{{ at HttpProvider.send (/opt/gopath/src/github.com/hyperledger/fabric-chaincode-evm/node_modules/web3/lib/web3/httpprovider.js:95:18)}}
{{ at RequestManager.send (/opt/gopath/src/github.com/hyperledger/fabric-chaincode-evm/node_modules/web3/lib/web3/requestmanager.js:58:32)}}
{{ at Eth.get [as accounts] (/opt/gopath/src/github.com/hyperledger/fabric-chaincode-evm/node_modules/web3/lib/web3/property.js:107:62)}}

 

Any idea ?",,swetharepakula,zamrokk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|hzzxb3:",,,,Unset,Unset,"Follow all steps here on a Mac : https://github.com/hyperledger/fabric-chaincode-evm/blob/master/examples/EVM_Smart_Contracts.md
",,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,zamrokk,,,,,,,,,,,,,,,"17/Nov/18 5:10 AM;swetharepakula;Is this error still occurring? I need some more information to debug. How did you set up web3? Is Fab3 properly running?;;;",,,,,,,,,,,,,,,,,,,,,
makefile test invocation should always work,FABCE-74,38837,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,MHBauer,MHBauer,MHBauer,29/Mar/19 2:44 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,12/Apr/19 3:58 AM,,0,,,"The ginkgo tool has options we should use.

 

skipPackage for integration test

requireSuite for preventing the issue we just found in https://gerrit.hyperledger.org/r/#/c/29095/",,MHBauer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00i93:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),MHBauer,,,,,,,,,,,,,,,,"12/Apr/19 3:58 AM;MHBauer;https://gerrit.hyperledger.org/r/30505;;;",,,,,,,,,,,,,,,,,,,,,
Log Filtering/Matching should not be strict case,FABCE-75,42541,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,swetharepakula,swetharepakula,swetharepakula,28/Sep/19 7:41 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,20/Nov/19 9:56 AM,,0,,,"Though all of the addresses generated in the EVMCC are lowercase, some clients such as Remix will send a combination of lower and upper case letters in the addresses which cause the matching in logs for addresses, topics fail.

Fab3 should ignore case when matching logs.",,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i0112r:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,"09/Oct/19 1:26 AM;swetharepakula;https://github.com/hyperledger/fabric-chaincode-evm/pull/18;;;",,,,,,,,,,,,,,,,,,,,,
GetBlockByNumber returns null GasPrice and Value,FABCE-76,41589,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,swetharepakula,swetharepakula,swetharepakula,02/Aug/19 10:01 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,03/Aug/19 3:24 AM,,0,,,"Because transactions in GetBlockByNumber are added as an interface, the transactions MarshalJSON function is not called leading to GasPrice and Value being empty instead of ""0x0"".",,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00vyj:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,"02/Aug/19 11:29 AM;swetharepakula;[https://gerrit.hyperledger.org/r/#/c/fabric-chaincode-evm/+/32657/];;;",,,,,,,,,,,,,,,,,,,,,
Contract Address should have '0x' prefix ,FABCE-77,37694,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Low,Done,swetharepakula,swetharepakula,swetharepakula,15/Feb/19 11:33 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,14/Mar/19 12:58 PM,,0,,,"When contract addresses are returned in GetTransactionReceipt, the contract address should have the '0x' prefix: https://github.com/hyperledger/fabric-chaincode-evm/blob/master/fab3/ethservice.go#L225",,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FABCE-68,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00bw7:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,"01/Mar/19 7:58 AM;swetharepakula;https://gerrit.hyperledger.org/r/#/c/29728/;;;",,,,,,,,,,,,,,,,,,,,,
getCode should not error on empty account,FABCE-78,37816,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,swetharepakula,swetharepakula,swetharepakula,20/Feb/19 7:24 AM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,14/Mar/19 12:58 PM,,0,,,"When evmcc is queried for an account that does not exist it currently fails when trying to decode empty bytes.

We should instead check that the bytes are not empty before decoding. We should only return an error if non nil bytes cannot be decoded.

This error causes `truffle deploy` to fail currently.",,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,FABCE-12,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i00cj3:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,,,,,,,,,,,,,,"21/Feb/19 8:14 AM;swetharepakula;https://gerrit.hyperledger.org/r/#/c/29429/;;;",,,,,,,,,,,,,,,,,,,,,
Event marshaling anomaly during contract deployment,FABCE-79,42376,,Epic,Closed,FABCE,Fabric Chaincode EVM,software,swetharepakula,,,Medium,Done,swetharepakula,klenik,klenik,17/Sep/19 8:31 PM,01/Dec/19 6:16 AM,28/Oct/23 2:24 AM,20/Nov/19 9:57 AM,,0,chaincode,,"h2. Unexpected behavior

The following error occurs when {{evmcc}} returns from a contract deploy transaction:

{{2019-09-16 12:11:48.992 UTC [evmcc] ERRO Error starting EVM chaincode: rpc error: code = Internal desc = grpc: error while marshaling: proto: field ""protos.ChaincodeEvent.EventName"" contains invalid UTF-8}}
h2. Possible source

A CC event is added to the stub through this call:
 [https://github.com/hyperledger/fabric-chaincode-evm/blob/f1b1d8d21f449f8701775b5c80f67e003def4812/evmcc/evmcc.go#L130]

When returning from the CC, this event cannot be marshaled because it contains invalid UTF-8 parts. The following instructions affect {{contractAddr}}:
 * {{crypto.NewContractAddress}}
 * {{contractAddr.Bytes()}}
 * array slicing

h2. Environment
 * Fabric peer 1.4.0 DockerHub image
 * fabric-chaincode-evm@master
 * Emscripten Solidity compiler v0.5.0+commit.1d4f565a",,conanoc,klenik,MHBauer,swetharepakula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17/Sep/19 8:10 PM;klenik;RefundEscrow.sol;https://jira.hyperledger.org/secure/attachment/17824/RefundEscrow.sol","17/Sep/19 8:11 PM;klenik;bytecode-with-arg.txt;https://jira.hyperledger.org/secure/attachment/17822/bytecode-with-arg.txt","17/Sep/19 8:11 PM;klenik;bytecode.txt;https://jira.hyperledger.org/secure/attachment/17823/bytecode.txt",,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,Unknown,,No,,Unset,No,,,"1|i0108z:",,,,Unset,Unset,"1a) Compile the attached RefundEscrow.sol contract with the specified compiler version
1b) Or use the bytecode in the attached bytecode.txt file

2a) Append an arbitrary non-zero address at the end of the bytecode (constructor argument).
2b) Or use the augmented bytecode in the attached bytecode-with-arg.txt file.

3) Deploy the bytecode through evmcc.

(From the client-side, a timeout occurs. But the CC container logs contain the exact error.)
",,Unset,,,,,,Unset,,Unset,,(Please add usage information),conanoc,klenik,MHBauer,swetharepakula,,,,,,,,,,,,,"18/Sep/19 5:14 AM;MHBauer;[~swetharepakula] has solution and is working on making a test.;;;","18/Sep/19 8:20 AM;swetharepakula;Solution is to encode the event name to a hex string before passing it along to eventmanager to flush.

Still need some exploration/experimenting to understand what causes this to error. My hypothesis is that it has to do with the specific bytes and sometimes when not interpreted as hex causes the non utf 8 marshaling error. ;;;","30/Sep/19 2:17 PM;conanoc;Yeah. contractAddr should be converted to hex string before it is converted as a string. It's because contractAddr is array of bytes not array of utf-8 encoded bytes. The string converted from non-utf8 bytes will make error somewhere referring the utf-8 characters in the string.;;;","01/Oct/19 7:05 AM;swetharepakula;https://github.com/hyperledger/fabric-chaincode-evm/pull/16;;;","15/Oct/19 6:43 AM;MHBauer;From [~swetharepakula] in [https://github.com/hyperledger/fabric-chaincode-evm/pull/16#discussion_r334662979] the line blowing up is [https://github.com/hyperledger/fabric-chaincode-evm/blob/master/eventmanager/eventmanager.go#L42]

 ;;;","16/Oct/19 8:20 AM;MHBauer;Okay.
The issue is only creation.
It occurs because proto marshalling requires well-formed utf8 strings.;;;",,,,,,,,,,,,,,,,
